,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,16.95676980018616,0.7458407416856078,3.201263904571533,0.04673640752802968,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.8823020337516226,0.8455214192990047,0.8476190476190476,0.8887445887445887,0.8575757575757575,0.8643525693980042,0.017875693116844327,7,0.962605152569895,0.9469064739547152,0.9578881310835947,0.9551461868615423,0.9636368835140227,0.957236565596754,0.006021475063528489,2
1,12.747539520263672,1.4372843472844885,3.178602457046509,0.012777381912840967,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.8909562959757681,0.8814366075292082,0.8558441558441559,0.8424242424242424,0.9012987012987013,0.8743920006144151,0.021972405505282497,5,0.9587110305891551,0.9453185852151921,0.9541348880046712,0.9463123709540522,0.9554155655749054,0.9519784880675951,0.005258324456180369,4
2,11.330768537521362,0.37076773834547394,3.1932297229766844,0.0695256934311047,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.6858502812635223,0.8766767633059281,0.883982683982684,0.7389610389610389,0.7627705627705628,0.7896482660567472,0.07815186409882059,11,0.962889318227949,0.9425803793490257,0.9512988869692938,0.9362979539257056,0.9642870042077256,0.95147070853594,0.01099019599652278,5
3,28.780015993118287,1.1575152203375023,6.195625686645508,0.18458742025717315,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.9009086975335353,0.8788403288619645,0.8887445887445887,0.8813852813852814,0.8956709956709956,0.8891099784392731,0.008336988377416775,2,0.9614812698746814,0.9563533593771145,0.9602726594150118,0.9563907466154598,0.9634480174328661,0.9595892105430268,0.0028156095521955386,1
4,24.412618827819824,1.6907048329011167,6.093619775772095,0.08394978162479341,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.8909562959757681,0.8784076157507572,0.8865800865800866,0.8207792207792208,0.8818181818181818,0.8717082801808029,0.025816727280378555,6,0.9547875899294097,0.9456433806391854,0.9549836566881167,0.9445576470446597,0.9485810212914527,0.9497106591185649,0.004426106621166807,7
5,22.558540248870848,0.40487298675111283,6.1861487865448,0.12188817779089627,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.8390307226308957,0.8645607961921247,0.8562770562770563,0.8428571428571429,0.874025974025974,0.8553503383966387,0.013091069463734267,9,0.9351500890836785,0.9516280370627667,0.9493026251632826,0.9440903727960607,0.9452167971924419,0.945077584259646,0.005662305709632144,9
6,41.40253610610962,0.4162221073029202,10.048056030273438,0.32108418291848295,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.8952834270878408,0.8926871484205972,0.8948051948051948,0.8792207792207792,0.887012987012987,0.8898019073094797,0.006052155139523447,1,0.953241969313116,0.9536091387808744,0.9619829885085147,0.9515569788650577,0.959938569614081,0.9560659290163287,0.004107313875672685,3
7,39.080061483383176,1.8475822185718216,9.635349988937378,0.04625660553205405,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.8840328861964517,0.8797057550843791,0.8826839826839827,0.8627705627705627,0.8645021645021645,0.8747390702475082,0.00918916772346263,4,0.95347426346216,0.9506904910124897,0.9538421832016036,0.9434568061015031,0.9490084154512018,0.9500944318457917,0.0037699256130793615,6
8,35.51680302619934,0.4285655739663958,9.641328954696656,0.06864716784625913,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.8546083946343574,0.8360017308524448,0.6982683982683983,0.8601731601731601,0.8484848484848485,0.8195073064826419,0.061149709543996573,10,0.9357191721607866,0.9410563971165384,0.9300217308861507,0.9404191472583567,0.9283904095158406,0.9351213713875346,0.00519539231064328,11
9,82.74301991462707,0.9313869063033269,21.480249166488647,0.4152075747225893,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.8671570748593682,0.8866291648636954,0.8813852813852814,0.8800865800865801,0.8722943722943723,0.8775104946978594,0.006916669266005602,3,0.9442358725314048,0.9505190712053819,0.9532176459611251,0.9481062224977879,0.9477473016981394,0.9487652227787677,0.0029961813983247435,8
10,77.76716909408569,0.29366315362036627,21.583595275878906,0.07554931746268188,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.8766767633059281,0.8667243617481609,0.8705627705627705,0.8173160173160173,0.8632034632034632,0.8588966752272681,0.021265001875079473,8,0.9448290119605175,0.9420616088801476,0.9489572485447529,0.9413664874821668,0.9421084076256748,0.943864552898652,0.002808583785630418,10
11,76.09741063117981,0.609064251397411,21.38461036682129,0.20105502274922724,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.7935958459541325,0.7775854608394634,0.7497835497835498,0.8194805194805195,0.7584415584415585,0.7797773868998448,0.025007762507541904,12,0.8993392020808744,0.8751808178228482,0.8806012713471345,0.9183210633085124,0.9013155914593404,0.894951589203742,0.015509345666298177,12
