,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0019019126892089843,0.0003563728372638349,0.0010013580322265625,0.0002339079952871908,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5083333333333334,0.010206207261596593,13
1,0.0017930030822753905,0.00047764986874989794,0.0008548736572265625,0.00017592464778268575,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5083333333333334,0.010206207261596593,13
2,0.0014121532440185547,0.0003159330643135502,0.0007196426391601563,0.00014498787193294424,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.8125,0.9166666666666666,0.875,0.8958333333333334,0.8333333333333334,0.8666666666666666,0.038640077064565424,9
3,0.002032184600830078,9.253523564246962e-05,0.0010157585144042968,3.9447605788170695e-05,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5083333333333334,0.010206207261596593,13
4,0.0012390613555908203,0.0002887522442734092,0.0006615161895751953,0.00013585094821456635,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5083333333333334,0.010206207261596593,13
5,0.0011497020721435546,0.0002450548411122844,0.0006168365478515625,0.00012697291621125247,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.9791666666666666,1.0,0.8333333333333334,0.9375,0.9583333333333334,0.9416666666666667,0.05803495115493381,7
6,0.0014915943145751953,5.9136920657375603e-05,0.0007973194122314453,5.383054362439785e-05,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.9166666666666666,1.0,0.875,0.9791666666666666,0.9583333333333334,0.9458333333333332,0.044876373392787536,6
7,0.001714181900024414,0.000369005985918246,0.000843667984008789,0.00018112950531685816,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.8333333333333334,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.8333333333333334,0.8541666666666666,0.04564354645876384,10
8,0.0010266780853271484,2.935102172780933e-05,0.0005774497985839844,2.013642161402854e-05,10.0,0.001,"{'C': 10.0, 'gamma': 0.001}",0.9791666666666666,1.0,0.8333333333333334,0.9375,0.9583333333333334,0.9416666666666667,0.05803495115493381,7
9,0.001220846176147461,0.00022222277370112842,0.0006378173828125,0.00010488264990101141,10.0,0.01,"{'C': 10.0, 'gamma': 0.01}",1.0,0.9791666666666666,0.8958333333333334,1.0,0.9583333333333334,0.9666666666666666,0.03864007706456542,2
10,0.0009856700897216796,8.134727320696818e-05,0.0004508495330810547,9.4445059625361e-06,10.0,0.1,"{'C': 10.0, 'gamma': 0.1}",0.8958333333333334,1.0,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0348608344389198,5
11,0.001514768600463867,0.00042038155878081974,0.0007549762725830078,0.00020424943269040154,10.0,1.0,"{'C': 10.0, 'gamma': 1.0}",0.8333333333333334,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.8333333333333334,0.8541666666666666,0.04564354645876384,10
12,0.0012847900390625,6.0601744513451484e-05,0.0007088661193847656,4.969604091752497e-05,100.0,0.001,"{'C': 100.0, 'gamma': 0.001}",1.0,0.9791666666666666,0.8958333333333334,1.0,0.9583333333333334,0.9666666666666666,0.03864007706456542,2
13,0.001359272003173828,7.541167219708318e-05,0.0006330966949462891,3.282136353913297e-05,100.0,0.01,"{'C': 100.0, 'gamma': 0.01}",1.0,1.0,0.9791666666666666,0.9791666666666666,1.0,0.9916666666666666,0.010206207261596593,1
14,0.0009644031524658203,1.9704974639780876e-05,0.00044522285461425783,9.266603599371833e-06,100.0,0.1,"{'C': 100.0, 'gamma': 0.1}",0.9166666666666666,1.0,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9625,0.027638539919628335,4
15,0.0017208099365234376,0.00037476311379192566,0.0008472442626953125,0.00015742442070969422,100.0,1.0,"{'C': 100.0, 'gamma': 1.0}",0.8333333333333334,0.9166666666666666,0.7916666666666666,0.8958333333333334,0.8333333333333334,0.8541666666666666,0.04564354645876384,10
