,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0018910884857177735,1.725689420709934e-05,0.0010818004608154296,2.7869734798426183e-05,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.5,0.5,0.5,0.5,0.4583333333333333,0.4916666666666667,0.016666666666666673,15
1,0.001843881607055664,9.461095714783057e-05,0.0011661529541015625,0.00013674060240305742,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.5,0.5,0.5,0.5,0.5208333333333334,0.5041666666666667,0.008333333333333349,14
2,0.0019215106964111327,0.00010611588586026539,0.0010464191436767578,0.00010238749792096435,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.6041666666666666,0.8125,0.6666666666666666,0.8125,0.625,0.7041666666666666,0.0907147544044885,10
3,0.0016241073608398438,0.00018774266431910734,0.0008906841278076172,0.0001300535564240873,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.8541666666666666,0.8958333333333334,0.875,0.875,0.8125,0.8625,0.02825970826302196,8
4,0.0017955780029296875,0.0001961990743140959,0.0009615898132324218,0.00014590246193195802,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.4166666666666667,0.5,0.5,0.5,0.4583333333333333,0.475,0.03333333333333333,16
5,0.0015721321105957031,0.00018864729015974032,0.0008662700653076172,0.00015974960016251346,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.4583333333333333,0.6875,0.7083333333333334,0.6875,0.5416666666666666,0.6166666666666666,0.09912814377808601,12
6,0.0013129711151123047,0.00024810561796950064,0.0007723331451416016,8.340474855206628e-05,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.9166666666666666,0.8541666666666666,0.875,0.8958333333333334,0.8541666666666666,0.8791666666666667,0.02429563289518876,7
7,0.001192617416381836,0.00017221727695366403,0.0007605552673339844,0.00010031774431568738,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9166666666666666,0.9416666666666667,0.033333333333333354,5
8,0.0018342971801757813,2.145851981289986e-05,0.0011618614196777343,7.250534390925822e-05,10.0,0.001,"{'C': 10.0, 'gamma': 0.001}",0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5,0.5416666666666666,0.5125,0.021245914639969925,13
9,0.0017983436584472657,3.573715563029755e-05,0.001071786880493164,3.6827946133872384e-05,10.0,0.01,"{'C': 10.0, 'gamma': 0.01}",0.8125,0.8125,0.8541666666666666,0.8333333333333334,0.7708333333333334,0.8166666666666667,0.027638539919628315,9
10,0.0014460563659667968,0.0001518482970254937,0.0008843421936035156,3.472847940236591e-05,10.0,0.1,"{'C': 10.0, 'gamma': 0.1}",1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9375,0.9541666666666668,0.027638539919628342,4
11,0.0015422821044921875,0.0002747293635081796,0.0011448860168457031,0.0005083680788843627,10.0,1.0,"{'C': 10.0, 'gamma': 1.0}",1.0,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9583333333333334,0.9708333333333334,0.016666666666666646,2
12,0.001916790008544922,0.0004777523223220092,0.001005268096923828,4.543299839135951e-05,100.0,0.001,"{'C': 100.0, 'gamma': 0.001}",0.5833333333333334,0.7291666666666666,0.7083333333333334,0.7083333333333334,0.6458333333333334,0.675,0.05368374469468801,11
13,0.001993083953857422,7.000703539285719e-05,0.0008956432342529297,6.911714720832972e-05,100.0,0.01,"{'C': 100.0, 'gamma': 0.01}",0.9583333333333334,0.8333333333333334,0.8958333333333334,0.8541666666666666,0.8958333333333334,0.8875,0.04289845892077918,6
14,0.0016580581665039062,6.73922240316263e-05,0.0008337497711181641,2.6223009107327227e-05,100.0,0.1,"{'C': 100.0, 'gamma': 0.1}",1.0,0.9583333333333334,0.9583333333333334,0.9791666666666666,0.9166666666666666,0.9625,0.02763853991962834,3
15,0.0013590335845947265,0.0002314424038788006,0.0006747722625732421,0.00011685900293658355,100.0,1.0,"{'C': 100.0, 'gamma': 1.0}",1.0,1.0,0.9583333333333334,0.9791666666666666,0.9375,0.975,0.024295632895188747,1
