,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,32.59080529212952,1.7820076658278314,0.4034446716308594,0.011875895380221529,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.6041666666666666,0.6458333333333334,0.7083333333333334,0.6041666666666666,0.6458333333333334,0.6416666666666667,0.038188130791298694,19,0.6597222222222222,0.6180555555555556,0.7517361111111112,0.6156521739130434,0.7426086956521739,0.6775549516908212,0.05903384163968012,26
1,39.210476112365725,3.7442674268789373,1.1906899452209472,0.013294851660258459,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.8333333333333334,0.7916666666666666,0.8125,0.7083333333333334,0.7083333333333334,0.7708333333333334,0.05270462766947298,9,0.8993055555555556,0.8958333333333333,0.9045138888888888,0.8156521739130435,0.8382608695652174,0.8707131642512078,0.036540117155405075,9
2,61.31380548477173,1.5470968767515643,2.538884973526001,0.04998214953259329,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.8125,0.8125,0.8541666666666666,0.6458333333333334,0.7291666666666666,0.7708333333333333,0.07453559924999298,10,0.8680555555555555,0.90625,0.9444444444444444,0.8104347826086957,0.8643478260869565,0.8787065217391306,0.04485702455956341,7
3,37.955848121643065,5.839624011070052,0.6364526748657227,0.02757130921565829,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.5625,0.5208333333333334,0.625,0.5833333333333334,0.625,0.5833333333333334,0.03952847075210473,26,0.6979166666666666,0.6493055555555556,0.6892361111111112,0.5965217391304347,0.768695652173913,0.6803351449275363,0.05689189530048196,25
4,94.63691821098328,7.09490786010963,3.301813507080078,0.10647108358803296,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.7708333333333334,0.8333333333333334,0.8125,0.7708333333333334,0.7916666666666666,0.7958333333333334,0.02429563289518875,4,0.9010416666666666,0.8871527777777779,0.8975694444444444,0.8834782608695653,0.8521739130434782,0.8842832125603867,0.017304676876134954,6
5,200.57498388290406,5.783159774428727,8.809434032440185,0.1980210608352969,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.7916666666666666,0.8541666666666666,0.8541666666666666,0.8125,0.7708333333333334,0.8166666666666667,0.03333333333333331,1,0.9114583333333333,0.9149305555555555,0.9461805555555556,0.8678260869565217,0.8452173913043478,0.8971225845410629,0.03600487717187396,2
6,154.76993136405946,13.634602079470461,1.2485781192779541,0.033947032030748725,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.5833333333333334,0.5833333333333334,0.6666666666666666,0.7083333333333334,0.5625,0.6208333333333333,0.0565194165260439,22,0.59375,0.7118055555555556,0.7447916666666666,0.7895652173913043,0.5965217391304347,0.6872868357487922,0.0791912658786353,23
7,560.3660586357116,82.16825172375562,8.451922512054443,0.09204752156857114,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.7708333333333334,0.7083333333333334,0.75,0.6875,0.75,0.7333333333333334,0.03061862178478973,15,0.9114583333333334,0.8229166666666667,0.9166666666666667,0.8052173913043478,0.888695652173913,0.8689909420289856,0.04616196327716344,12
8,1242.2169185638427,45.79392374803337,26.73138470649719,0.4840763124454458,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.7708333333333334,0.8125,0.7291666666666666,0.75,0.7291666666666666,0.7583333333333333,0.031180478223116197,14,0.8940972222222222,0.8732638888888888,0.8975694444444445,0.8591304347826088,0.8521739130434782,0.8752469806763287,0.018164064245588092,8
9,20.735701942443846,3.9097007220310056,0.3580770969390869,0.03637955203481785,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.6041666666666666,0.625,0.7291666666666666,0.7291666666666666,0.5625,0.6499999999999999,0.067700320038633,18,0.6493055555555555,0.7170138888888888,0.814236111111111,0.7826086956521738,0.6591304347826087,0.7244589371980676,0.06544097815369428,19
10,25.334474897384645,1.3474644170035064,1.2044897079467773,0.040954055293026745,32,0.01,1,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.8125,0.7708333333333334,0.8125,0.6875,0.7083333333333334,0.7583333333333334,0.05204164998665331,13,0.8802083333333334,0.8732638888888891,0.9010416666666666,0.8452173913043478,0.84,0.8679462560386474,0.02267834421661227,13
