,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,3.6758009433746337,0.3273237025427757,2.5831719398498536,0.05068396660541574,0.1,1,"{'C': 0.1, 'repeats': 1}",0.88,0.92,0.96,0.86,0.9,0.9039999999999999,0.0344093010681705,2,0.9791666666666667,0.9935999999999999,0.9952000000000001,0.9456,0.9648000000000001,0.9756733333333335,0.018641320887867477,2
1,5.0874193668365475,0.07399962377650432,4.968364000320435,0.08576963104968782,0.1,5,"{'C': 0.1, 'repeats': 5}",0.76,0.64,0.62,0.7,0.62,0.6679999999999999,0.05455272678794342,8,0.8573717948717949,0.7968000000000001,0.8592,0.7968000000000001,0.8215999999999999,0.8263543589743589,0.02760594741016662,6
2,7.799147748947144,0.10925409370575549,7.871232557296753,0.12914887778696388,0.1,10,"{'C': 0.1, 'repeats': 10}",0.54,0.5,0.5,0.5,0.5,0.508,0.016000000000000014,12,0.544871794871795,0.3504,0.46240000000000003,0.7136,0.392,0.49265435897435894,0.12870630580094244,12
3,3.1274789333343507,0.06991759399371113,2.624949312210083,0.04642766324447313,1.0,1,"{'C': 1.0, 'repeats': 1}",0.94,0.94,0.94,0.88,0.88,0.916,0.029393876913398106,1,0.9903846153846154,0.9968,0.9872,0.9503999999999999,0.9536,0.975676923076923,0.01960405706108914,1
4,5.107790851593018,0.08515642465577906,5.0016992568969725,0.08195971810236913,1.0,5,"{'C': 1.0, 'repeats': 5}",0.78,0.74,0.8,0.78,0.76,0.772,0.02039607805437116,5,0.8701923076923077,0.8,0.8672,0.8672000000000001,0.8463999999999999,0.8501984615384615,0.026503480356472372,5
5,7.80807409286499,0.14851510018684075,7.946241235733032,0.1024048695145681,1.0,10,"{'C': 1.0, 'repeats': 10}",0.58,0.56,0.62,0.6,0.64,0.6000000000000001,0.028284271247461894,9,0.5528846153846153,0.6496000000000001,0.6464,0.7056,0.6863999999999999,0.648176923076923,0.052619805932095205,9
6,3.1379377841949463,0.0959865646921236,2.6325919151306154,0.05484479130149056,10.0,1,"{'C': 10.0, 'repeats': 1}",0.92,0.9,0.92,0.9,0.84,0.8960000000000001,0.029393876913398165,3,0.9903846153846154,0.9808,0.9728000000000001,0.9551999999999999,0.9248,0.9647969230769231,0.023094295819710238,3
7,5.206683492660522,0.08641028985812932,4.912263202667236,0.08753171639267357,10.0,5,"{'C': 10.0, 'repeats': 5}",0.82,0.64,0.74,0.8,0.78,0.756,0.0637495098020369,6,0.9102564102564102,0.7088,0.7376,0.8512,0.7999999999999999,0.8015712820512821,0.0734530753150696,7
8,7.8674092292785645,0.10467914223457522,8.004929542541504,0.1347352257268332,10.0,10,"{'C': 10.0, 'repeats': 10}",0.48,0.64,0.5,0.48,0.68,0.556,0.08616263691415209,11,0.578525641025641,0.6744,0.54,0.5144,0.6568,0.5928251282051282,0.06307569130337837,11
9,3.0496235370635985,0.041373554164109115,2.697022867202759,0.063906925265936,100.0,1,"{'C': 100.0, 'repeats': 1}",0.9,0.84,0.88,0.88,0.88,0.876,0.01959591794226544,4,0.9711538461538461,0.9632,0.9552,0.9568,0.9168000000000001,0.9526307692307692,0.018775731535004305,4
10,5.106049108505249,0.05240159839848143,4.95850567817688,0.04681874017814668,100.0,5,"{'C': 100.0, 'repeats': 5}",0.8,0.64,0.76,0.76,0.78,0.748,0.05600000000000001,7,0.8958333333333334,0.7104,0.7136,0.8368000000000001,0.7999999999999999,0.7913266666666667,0.07163135378062072,8
11,7.770307636260986,0.11934173125008528,7.913271808624268,0.12489399595873811,100.0,10,"{'C': 100.0, 'repeats': 10}",0.5,0.68,0.52,0.48,0.68,0.5720000000000001,0.08908422980528037,10,0.5849358974358974,0.6831999999999999,0.5488,0.5128000000000001,0.6496000000000001,0.5958671794871795,0.06284776234537842,10
