,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_vmap,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,2855.3911320209504,64.77626467015513,1389.6574474334716,18.552465657589693,0.1,500,1,"{'C': 0.1, 'max_vmap': 500, 'repeats': 1}",0.52,0.52,0.52,0.54,0.56,0.532,0.016000000000000014,10,,,,,,,,1
1,5014.28564376831,72.67347946901805,2592.35501332283,28.640535819420066,0.1,500,5,"{'C': 0.1, 'max_vmap': 500, 'repeats': 5}",0.52,0.52,0.52,0.54,0.54,0.528,0.00979795897113272,11,,,,,,,,1
2,7899.994684267044,110.76203810593819,4035.978021192551,126.51038342988227,0.1,500,10,"{'C': 0.1, 'max_vmap': 500, 'repeats': 10}",0.52,0.52,0.52,0.54,0.54,0.528,0.00979795897113272,11,,,,,,,,1
3,3253.608382797241,201.26831909073744,1521.8740793228149,97.17851022629206,1.0,500,1,"{'C': 1.0, 'max_vmap': 500, 'repeats': 1}",0.94,0.94,0.96,0.96,0.98,0.9559999999999998,0.014966629547095779,1,,,,,,,,1
4,5687.570964860916,291.3648912139537,2637.968274068832,92.15775506654631,1.0,500,5,"{'C': 1.0, 'max_vmap': 500, 'repeats': 5}",0.9,0.86,0.92,0.9,0.92,0.9,0.021908902300206663,6,,,,,,,,1
5,8100.746039915085,274.36449559886523,4080.2786334991456,95.61777395116088,1.0,500,10,"{'C': 1.0, 'max_vmap': 500, 'repeats': 10}",0.56,0.64,0.62,0.58,0.66,0.6120000000000001,0.03709447398198282,9,,,,,,,,1
6,2926.9175939559937,68.08424492616204,1480.8146833896637,42.12898342755575,10.0,500,1,"{'C': 10.0, 'max_vmap': 500, 'repeats': 1}",0.96,0.9,0.98,0.94,0.98,0.952,0.029933259094191523,2,,,,,,,,1
7,5537.877282905579,232.88531926401427,2679.5207019329073,67.8187622877517,10.0,500,5,"{'C': 10.0, 'max_vmap': 500, 'repeats': 5}",0.9,0.9,0.94,0.88,0.92,0.908,0.020396078054371124,4,,,,,,,,1
8,8360.134924077987,239.45068988912328,3918.661993741989,61.744124107749165,10.0,500,10,"{'C': 10.0, 'max_vmap': 500, 'repeats': 10}",0.54,0.64,0.7,0.6,0.7,0.6359999999999999,0.0611882341631134,7,,,,,,,,1
9,3127.2804852962495,61.22038592173786,1576.562989282608,14.11607443817866,100.0,500,1,"{'C': 100.0, 'max_vmap': 500, 'repeats': 1}",0.96,0.9,0.98,0.94,0.98,0.952,0.029933259094191523,2,,,,,,,,1
10,5366.4962474823,101.1413929704301,2214.0352667808534,92.7891129123925,100.0,500,5,"{'C': 100.0, 'max_vmap': 500, 'repeats': 5}",0.9,0.9,0.94,0.88,0.92,0.908,0.020396078054371124,4,,,,,,,,1
11,6630.4537172317505,543.0531911715168,2258.317182254791,108.16387829302418,100.0,500,10,"{'C': 100.0, 'max_vmap': 500, 'repeats': 10}",0.54,0.64,0.7,0.6,0.7,0.6359999999999999,0.0611882341631134,7,,,,,,,,1
