,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,84.41313896179199,12.995878780090356,1.7408037185668945,0.06391792383580971,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1}",0.625,0.7083333333333334,0.6875,0.6041666666666666,0.7916666666666666,0.6833333333333333,0.06640573937712178,6,0.7339130434782608,0.7621527777777778,0.7586805555555555,0.65625,0.8194444444444444,0.7460881642512076,0.052946979691331476,6
1,133.21642942428588,1.3166015674117717,5.435256147384644,0.14455397683725052,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5}",0.6458333333333334,0.7708333333333334,0.7291666666666666,0.5833333333333334,0.6458333333333334,0.675,0.06666666666666667,7,0.7252173913043478,0.8489583333333334,0.7569444444444445,0.6736111111111112,0.7534722222222222,0.7516407004830918,0.05707716517308532,4
2,347.181617975235,39.83245440804289,18.313853979110718,0.6179459366936614,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10}",0.6666666666666666,0.75,0.75,0.6041666666666666,0.7083333333333334,0.6958333333333333,0.05527707983925668,3,0.7530434782608695,0.8680555555555556,0.763888888888889,0.6857638888888888,0.763888888888889,0.7669281400966184,0.0583534879190891,1
3,548.0617941379547,38.009724758302326,39.51902856826782,1.1388990064271218,32,0.001,1,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15}",0.6458333333333334,0.7083333333333334,0.7291666666666666,0.5625,0.6666666666666666,0.6625,0.058034951154933824,9,0.7130434782608696,0.84375,0.7534722222222221,0.6440972222222223,0.7847222222222222,0.7478170289855072,0.06717753727409703,5
4,74.55605025291443,17.1118879110744,1.5917256355285645,0.0445965003955314,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1}",0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.6458333333333334,0.6333333333333333,0.03385016001931648,11,0.6817391304347826,0.798611111111111,0.748263888888889,0.673611111111111,0.7690972222222222,0.7342644927536232,0.04896434584435209,9
5,289.7312178134918,58.79295839510184,6.73771824836731,0.3991449314070406,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5}",0.625,0.7291666666666666,0.625,0.7291666666666666,0.75,0.6916666666666667,0.05496210815947049,4,0.6730434782608696,0.7586805555555555,0.7083333333333334,0.7795138888888888,0.8402777777777778,0.7519698067632851,0.0578541536943814,3
6,498.6818257808685,43.1921290150434,15.636686325073242,1.5372835331727603,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10}",0.7083333333333334,0.6875,0.6666666666666666,0.7291666666666666,0.7291666666666666,0.7041666666666666,0.02429563289518875,2,0.7965217391304349,0.71875,0.7430555555555556,0.7586805555555555,0.795138888888889,0.762429347826087,0.030098132561105825,2
7,823.0320898532867,73.21149769331736,38.53463177680969,1.8241216677120797,32,0.01,1,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15}",0.6458333333333334,0.6875,0.625,0.7083333333333334,0.6875,0.6708333333333334,0.030618621784789732,8,0.7234782608695652,0.7291666666666666,0.71875,0.78125,0.7222222222222222,0.7349734299516909,0.02338021097196732,8
8,51.43022704124451,13.888050927880109,1.593367576599121,0.1375168874505593,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1}",0.7291666666666666,0.75,0.6666666666666666,0.6458333333333334,0.8333333333333334,0.725,0.06640573937712178,1,0.8052173913043478,0.7274305555555556,0.6857638888888888,0.7326388888888888,0.7708333333333334,0.7443768115942029,0.04064960716469967,7
9,113.39592723846435,7.817276492593739,6.242570877075195,0.3449285864073907,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5}",0.6041666666666666,0.6875,0.625,0.75,0.7916666666666666,0.6916666666666667,0.07144345083117602,4,0.6573913043478261,0.7413194444444444,0.6597222222222222,0.7291666666666666,0.78125,0.7137699275362318,0.048268621773927246,11
10,309.49796719551085,27.103396047586163,17.862509727478027,0.5131493453023216,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10}",0.5208333333333334,0.6875,0.5625,0.75,0.7708333333333334,0.6583333333333334,0.09999999999999999,10,0.551304347826087,0.8072916666666666,0.6701388888888887,0.7760416666666666,0.8298611111111109,0.726927536231884,0.1034740227102302,10
11,465.0984234333038,29.795208056968058,24.701629543304442,0.6828293830484481,32,0.1,1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15}",0.6458333333333334,0.625,0.6041666666666666,0.6041666666666666,0.625,0.6208333333333333,0.015590239111558117,12,0.7252173913043478,0.7638888888888888,0.6423611111111112,0.7187499999999999,0.6579861111111112,0.7016407004830918,0.04504046698068496,12
