,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,8.66528115272522,1.3156100588911541,0.8425312042236328,0.22693220159618593,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.6666666666666666,0.5416666666666666,0.7291666666666666,0.6666666666666666,0.7083333333333334,0.6625,0.0650854139658888,11
1,5.1872748851776125,0.6896178953342366,0.6016309261322021,0.07560563211584821,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.7083333333333334,0.5833333333333334,0.6875,0.6875,0.75,0.6833333333333333,0.05496210815947048,9
2,3.87615966796875,0.6395210887955114,0.6918184757232666,0.07978275414203846,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.7083333333333334,0.5833333333333334,0.7083333333333334,0.6458333333333334,0.6666666666666666,0.6625,0.04639803635691685,11
3,9.44345955848694,0.596728775573809,1.2583347797393798,0.10990745638779034,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.6666666666666666,0.5416666666666666,0.7291666666666666,0.7083333333333334,0.7083333333333334,0.6708333333333334,0.06770032003863302,10
4,9.191515016555787,0.30585910265050037,1.2901091575622559,0.08218961394807114,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.6666666666666666,0.7291666666666666,0.6458333333333334,0.7291666666666666,0.7291666666666666,0.7,0.03632415786283893,7
5,6.11323037147522,0.2726297936205503,1.262567663192749,0.1884635471087607,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.7708333333333334,0.5833333333333334,0.7291666666666666,0.6666666666666666,0.75,0.7,0.06795627679291705,7
6,15.200227117538452,2.952085879084464,1.736253023147583,0.1058450516676159,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.7708333333333334,0.7708333333333334,0.7708333333333334,0.8125,0.8125,0.7875,0.02041241452319313,6
7,10.957316875457764,0.5725767872839981,2.067688989639282,0.2082409043176444,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.7708333333333334,0.8541666666666666,0.8333333333333334,0.8541666666666666,0.8333333333333334,0.8291666666666666,0.030618621784789708,3
8,8.095976734161377,0.649723287999072,2.046259880065918,0.1456059856237889,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.8125,0.8125,0.8333333333333334,0.7708333333333334,0.7916666666666666,0.8041666666666668,0.02124591463996994,5
9,24.29906620979309,1.7430783886889627,4.250869941711426,0.29068946353134795,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.8333333333333334,0.8541666666666666,0.8958333333333334,0.875,0.8958333333333334,0.8708333333333333,0.02429563289518876,1
10,18.95083441734314,0.9744299360450354,3.698829174041748,0.229819167251364,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.8333333333333334,0.8541666666666666,0.9375,0.8125,0.9166666666666666,0.8708333333333333,0.04823265376162593,1
11,15.624523591995239,0.6315465904728198,3.655016040802002,0.45723004528677796,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.7916666666666666,0.8541666666666666,0.875,0.7916666666666666,0.8333333333333334,0.8291666666666666,0.03333333333333335,3
