,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,12.732134294509887,0.9486907266541625,0.8847581386566162,0.02204198788230169,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 1, 'n_layers': 1}",0.5880571181306794,0.5750757247944612,0.5748917748917749,0.5601731601731602,0.574025974025974,0.57444475040321,0.008828909061398531,24,0.6348027755016126,0.6002362285236544,0.5931395712815204,0.5855856804897577,0.5949251458256833,0.6017378803244458,0.017185924941392164,25
1,17.54892110824585,0.6243110915164765,1.2373939990997314,0.05620299192616204,32,0.001,1,2,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 1, 'n_layers': 2}",0.8005192557334487,0.8087408048463869,0.7818181818181819,0.8017316017316017,0.7844155844155845,0.7954450857090407,0.010482232977288458,8,0.8481299945121447,0.8602770685408565,0.8267578842183202,0.8603045634860915,0.8382742004418414,0.8467487422398507,0.01296253079556175,11
2,23.16064581871033,1.7604951687192172,2.024426078796387,0.09095561588333027,32,0.001,1,4,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 1, 'n_layers': 4}",0.8156642146257032,0.8026828212894851,0.8021645021645022,0.8121212121212121,0.8186147186147186,0.8102494937631242,0.006714478980866639,6,0.900111260628021,0.8929844188417435,0.8798789150207977,0.8912770958867826,0.8923726696483931,0.8913248720051478,0.006512523542856176,6
3,18.20157413482666,2.977868354921028,1.4768640995025635,0.15959695886038103,32,0.001,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 2, 'n_layers': 1}",0.5460839463435742,0.5889225443530939,0.5805194805194805,0.5909090909090909,0.5974025974025974,0.5807675319055673,0.018160911254989295,23,0.6064568752302268,0.6443407404734194,0.644733119435599,0.6450092702395214,0.6458723355585922,0.6372824681874718,0.015421010889397242,22
4,28.919707536697388,7.246274609065575,2.4747976303100585,0.28506351587342615,32,0.001,2,2,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 2, 'n_layers': 2}",0.7434011250540892,0.7749891821722198,0.6844155844155844,0.6831168831168831,0.6692640692640692,0.7110373688045691,0.04091583710784706,14,0.7998624277369739,0.8320003187806939,0.7341608326360587,0.7470759617873504,0.7235926090908544,0.7673384300063862,0.041626884873622226,17
5,42.33666019439697,1.6551861995526587,4.4204240322113035,0.20148744249230865,32,0.001,2,4,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 2, 'n_layers': 4}",0.7922977066205106,0.8109043704024232,0.7861471861471861,0.8073593073593074,0.7935064935064935,0.7980430128071841,0.009458404789851438,7,0.8555032664015457,0.8828796723175056,0.8567755518501351,0.8816690042920005,0.8625122650084576,0.8678679519739291,0.012003590841429618,8
6,26.829607343673707,2.010924373045541,2.2458242893218996,0.08495702775606179,32,0.001,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 3, 'n_layers': 1}",0.5434876676763306,0.5491129381220251,0.5333333333333333,0.5458874458874459,0.5424242424242425,0.5428491254886756,0.005284038259490998,27,0.6240270333255651,0.6046886324608968,0.5461706085250085,0.6130307061635054,0.6024812939809658,0.5980796548911883,0.027034801599434697,26
7,60.092203855514526,5.937736526487722,4.301504373550415,0.10830693322482857,32,0.001,3,2,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 3, 'n_layers': 2}",0.685417568152315,0.6520986585893552,0.6367965367965368,0.6515151515151515,0.6471861471861472,0.6546028124479012,0.016354962438861698,18,0.7986611136587457,0.7308889470312796,0.7201734558128616,0.736564172330141,0.7193773589448782,0.7411330095555811,0.029488672668968444,18
8,87.58032956123353,4.98769448257039,9.00484881401062,0.2608324633055393,32,0.001,3,4,"{'batch_size': 32, 'learning_rate': 0.001, 'n_input_copies': 3, 'n_layers': 4}",0.7278234530506275,0.7135439203807875,0.7142857142857143,0.7025974025974026,0.6935064935064935,0.710351396764205,0.011617392165015969,15,0.8047736823509071,0.7962728221414244,0.787439126430416,0.7687278402147806,0.7694622358132228,0.7853351413901501,0.014350387254237873,15
9,6.681014347076416,0.9035312213676219,0.7064366817474366,0.07194823510094704,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_input_copies': 1, 'n_layers': 1}",0.6014712245781048,0.6135871916919082,0.5826839826839827,0.5783549783549784,0.6004329004329004,0.5953060555483749,0.013001150162535925,21,0.6519504439148706,0.6344059100737707,0.6351829668378249,0.6097372127881149,0.6289240502519218,0.6320401167733005,0.01355747032518263,23
10,7.72267599105835,0.3433718177350368,0.9722335815429688,0.04208453586954724,32,0.01,1,2,"{'batch_size': 32, 'learning_rate': 0.01, 'n_input_copies': 1, 'n_layers': 2}",0.784941583729987,0.8039809606231069,0.7744588744588745,0.7991341991341991,0.7978354978354978,0.7920702231563331,0.010825718625189058,9,0.8670082167477315,0.8714065747014439,0.8462253872130892,0.8726305207587148,0.8638305653040218,0.8642202529450003,0.009530116645854009,9
