,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,11.987350463867188,1.0848727681499928,0.38168931007385254,0.0257231037398761,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5208333333333334,0.5833333333333334,0.4791666666666667,0.5625,0.5416666666666666,0.5375,0.035843021946010946,20,0.5138888888888888,0.5798611111111112,0.4461805555555556,0.5391304347826087,0.4921739130434783,0.5142469806763286,0.04482139483359798,26
1,35.80033550262451,1.6735209416855774,1.098757839202881,0.03021890850226031,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.5416666666666666,0.625,0.625,0.5208333333333334,0.5625,0.575,0.04289845892077916,8,0.5260416666666667,0.6770833333333333,0.6527777777777778,0.5704347826086956,0.6295652173913043,0.6111805555555556,0.05535404090130827,5
2,44.412937593460086,4.7904844738334145,2.3100332260131835,0.028970658825231636,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.5208333333333334,0.625,0.5625,0.5208333333333334,0.5416666666666666,0.5541666666666667,0.038640077064565424,15,0.5364583333333333,0.654513888888889,0.5729166666666666,0.5217391304347826,0.5930434782608696,0.5757342995169082,0.04684410363994111,16
3,23.19404606819153,11.847979388455904,0.6128087997436523,0.004168791895069613,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.4583333333333333,0.5,0.5,0.5625,0.4166666666666667,0.48749999999999993,0.0485912657903775,27,0.3888888888888889,0.3246527777777778,0.453125,0.488695652173913,0.3773913043478261,0.40655072463768116,0.05794210589715076,27
4,79.60627036094665,5.321426191265668,3.2073043823242187,0.061276435612826995,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.6041666666666666,0.6875,0.5625,0.5208333333333334,0.5833333333333334,0.5916666666666667,0.05527707983925665,5,0.6006944444444444,0.6701388888888888,0.6493055555555555,0.6156521739130435,0.6278260869565218,0.6327234299516908,0.02456074559453063,1
5,171.108069229126,5.75611003598037,8.483856296539306,0.4300432863326744,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5833333333333334,0.7083333333333334,0.625,0.5625,0.5833333333333334,0.6125,0.05204164998665333,1,0.5347222222222223,0.6631944444444444,0.6440972222222222,0.5495652173913043,0.6434782608695653,0.6070114734299518,0.05364235966975488,6
6,102.69694857597351,30.91816856822543,1.260619878768921,0.04800657992818977,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.5625,0.4791666666666667,0.5625,0.4791666666666667,0.4375,0.5041666666666667,0.049999999999999996,25,0.5694444444444444,0.5243055555555556,0.515625,0.4886956521739131,0.49565217391304345,0.5187445652173912,0.02845111514711549,25
7,448.4150640964508,34.39835226485449,7.9295430183410645,0.13449023481413921,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.5833333333333334,0.625,0.625,0.5416666666666666,0.6875,0.6125,0.04859126579037751,1,0.5868055555555556,0.6197916666666667,0.6371527777777778,0.5026086956521739,0.6817391304347826,0.6056195652173914,0.05992426281714217,7
8,958.1150888919831,98.58772026978912,23.161526346206664,0.4074377566244277,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.4583333333333333,0.6875,0.6458333333333334,0.5416666666666666,0.6666666666666666,0.5999999999999999,0.08680277773333192,3,0.5329861111111112,0.6840277777777779,0.6788194444444444,0.5182608695652173,0.6643478260869565,0.6156884057971015,0.07396665647289163,3
9,19.52306981086731,5.014487445728352,0.34147019386291505,0.03707139993414988,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5416666666666666,0.6041666666666666,0.5625,0.5625,0.5833333333333334,0.5708333333333333,0.02124591463996994,9,0.5989583333333333,0.6215277777777778,0.578125,0.5791304347826087,0.648695652173913,0.6052874396135266,0.02687030373913196,8
10,23.408305597305297,1.9862003802809194,1.1220226764678956,0.03654551015523865,32,0.01,1,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.5208333333333334,0.6458333333333334,0.625,0.6041666666666666,0.5833333333333334,0.5958333333333334,0.04289845892077916,4,0.5190972222222222,0.6927083333333334,0.5972222222222223,0.5408695652173913,0.5669565217391304,0.5833707729468599,0.060586193777493795,14
