,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,214.32644605636597,29.80602267164183,1.5057653427124023,0.04105032327308646,32,0.001,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1}",0.7291666666666666,0.6875,0.625,0.75,0.75,0.7083333333333333,0.047507309379130745,7,0.7795138888888888,0.751736111111111,0.6145833333333334,0.7534722222222223,0.8660869565217391,0.7530785024154589,0.08081164426773854,8
1,435.6500262260437,116.25256427394145,5.335582494735718,0.2630238108686687,32,0.001,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5}",0.7916666666666666,0.625,0.6041666666666666,0.7083333333333334,0.7708333333333334,0.7,0.07523112535528247,9,0.798611111111111,0.65625,0.6128472222222222,0.7465277777777778,0.8330434782608697,0.7294559178743961,0.08337981306350299,10
2,644.582312965393,117.03093057850832,13.12984881401062,0.197551593948639,32,0.001,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10}",0.6458333333333334,0.625,0.6875,0.6875,0.8125,0.6916666666666667,0.06508541396588878,10,0.7326388888888888,0.7239583333333334,0.7013888888888888,0.7239583333333334,0.8173913043478261,0.7398671497584541,0.04012231234522268,9
3,962.2521240234375,259.2704218807343,26.34364585876465,2.2817373838693498,32,0.001,1,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15}",0.6666666666666666,0.7916666666666666,0.6041666666666666,0.7708333333333334,0.8333333333333334,0.7333333333333334,0.08477912478906588,5,0.7586805555555556,0.763888888888889,0.6753472222222222,0.78125,0.8539130434782609,0.7666159420289855,0.05698302548412319,7
4,114.5444799900055,11.812559978116386,1.3646194458007812,0.0716227042015788,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1}",0.6875,0.7708333333333334,0.7708333333333334,0.75,0.8541666666666666,0.7666666666666667,0.05335936864527373,2,0.7552083333333333,0.859375,0.8454861111111112,0.8368055555555556,0.9443478260869566,0.8482445652173913,0.060255993531760574,2
5,246.65347871780395,32.22253717887037,5.7088157653808596,0.625309769117267,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 5}",0.6875,0.7708333333333334,0.6458333333333334,0.7291666666666666,0.875,0.7416666666666667,0.07861650943380503,4,0.8177083333333333,0.861111111111111,0.6475694444444444,0.8038194444444444,0.9426086956521739,0.8145634057971014,0.09651382442642882,4
6,464.1583453178406,48.44464173405608,14.222079610824585,0.9146358693430361,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 10}",0.7708333333333334,0.7708333333333334,0.7083333333333334,0.7291666666666666,0.875,0.7708333333333333,0.057433536467042585,1,0.842013888888889,0.8802083333333334,0.7708333333333334,0.8263888888888891,0.951304347826087,0.8541497584541062,0.05996271418940407,1
7,665.1483775138855,39.61069608344694,27.602380084991456,0.77296543003974,32,0.01,1,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 15}",0.7916666666666666,0.75,0.75,0.75,0.7916666666666666,0.7666666666666666,0.020412414523193135,3,0.8159722222222222,0.8420138888888888,0.8159722222222222,0.8125,0.9234782608695652,0.8419873188405796,0.04210426775344727,3
8,66.17649416923523,7.464189642681393,1.4093103885650635,0.0888293047782279,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 1}",0.6458333333333334,0.5833333333333334,0.5416666666666666,0.625,0.7708333333333334,0.6333333333333334,0.07750448015724283,12,0.6215277777777778,0.7222222222222222,0.5868055555555556,0.6701388888888888,0.7565217391304347,0.6714432367149759,0.06240776935383701,12
9,129.74262089729308,23.800688637725543,5.522981977462768,0.08307794783582374,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 5}",0.625,0.6875,0.5833333333333334,0.6875,0.6041666666666666,0.6375,0.04289845892077916,11,0.6267361111111112,0.7335069444444444,0.6319444444444444,0.7274305555555556,0.6556521739130435,0.6750540458937198,0.04632393184621534,11
10,261.23545107841494,19.77433332218514,13.945757484436035,0.24130183876854197,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 10}",0.75,0.7083333333333334,0.6458333333333334,0.7291666666666666,0.7708333333333334,0.7208333333333334,0.04289845892077916,6,0.845486111111111,0.8168402777777778,0.6354166666666666,0.795138888888889,0.9008695652173913,0.7987503019323671,0.08902892309001054,5
11,444.2293839454651,64.5384543517675,26.158717584609985,1.5404401800135252,32,0.1,1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_layers': 15}",0.6041666666666666,0.8125,0.5625,0.8333333333333334,0.7291666666666666,0.7083333333333333,0.10865337342004416,7,0.7118055555555556,0.8706597222222222,0.6006944444444444,0.8645833333333334,0.8121739130434783,0.7719833937198068,0.10284777179563227,6
