,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_kernel_shape,param_learning_rate,param_n_qchannels,param_qkernel_shape,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,97.9601219177246,3.3894175350911735,30.385222053527833,0.2570586617165474,32,2,0.0001,1,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 1, 'qkernel_shape': 2}",0.7252271743833838,0.7477282561661618,0.7441558441558441,0.6965367965367966,0.7311688311688311,0.7289633804822035,0.018183718580212494,25,0.8133298447898905,0.844910578029033,0.840750904450317,0.799703382433498,0.8226882340193711,0.824276588744422,0.01687223241964642,32
1,116.88243856430054,5.4675968176435905,46.08808073997498,0.4603579401499537,32,2,0.0001,1,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 1, 'qkernel_shape': 3}",0.680657723929035,0.7035915188230203,0.7017316017316018,0.6753246753246753,0.7017316017316018,0.6926074243079869,0.012071787864250044,52,0.7568432591416379,0.7552326324414942,0.7780458605972683,0.7323033986865154,0.7599749131667499,0.756480012806733,0.0145842154087513,54
2,342.2425104618072,3.0613479858287582,145.37760605812073,0.8519811403552534,32,2,0.0001,5,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 5, 'qkernel_shape': 2}",0.7312851579402856,0.7312851579402856,0.7415584415584415,0.6922077922077922,0.7272727272727273,0.7247218553839063,0.01693101158536736,28,0.828168935723587,0.8486814112057496,0.8459082276385569,0.8085319311594421,0.8378449251458258,0.8338270861746324,0.01452313681660434,25
3,509.9007869720459,5.896344891655122,225.20693364143372,1.740275043728199,32,2,0.0001,5,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 5, 'qkernel_shape': 3}",0.6953699697100822,0.7273907399394202,0.7021645021645022,0.6878787878787879,0.7017316017316018,0.7029071202848789,0.013296919723192835,44,0.7926226328277952,0.8199115177302831,0.8081967126767515,0.7720890544957653,0.8055224893602932,0.7996684814181778,0.016291405269322656,43
4,666.1886319160461,2.154807368707176,287.1147855758667,1.3531663147706006,32,2,0.0001,10,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 10, 'qkernel_shape': 2}",0.7183037646040675,0.7550843790566855,0.7463203463203463,0.6961038961038961,0.7233766233766233,0.7278378018923236,0.020984857269273724,27,0.8254126856671989,0.8523650401064493,0.8464552620648554,0.8103980183358114,0.8357538540719828,0.8340769720492596,0.015008331937738583,24
5,1007.5204294204711,8.498925185226154,451.2731586456299,2.0846586497377606,32,2,0.0001,10,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.0001, 'n_qchannels': 10, 'qkernel_shape': 3}",0.694937256598875,0.7269580268282129,0.7064935064935065,0.6748917748917749,0.693939393939394,0.6994439917503525,0.01708882907537127,47,0.795763073767657,0.8261563963584697,0.8116452116805019,0.7854157762621672,0.7995848708487086,0.8037130657835008,0.014011832115235857,39
6,79.49234719276429,3.414570351946908,30.403449964523315,0.7570096865748285,32,2,0.001,1,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 1, 'qkernel_shape': 2}",0.7364777152747728,0.7477282561661618,0.7515151515151515,0.7294372294372294,0.7294372294372294,0.7389191163661091,0.009187315649804127,13,0.822385772757483,0.8528198555115358,0.8476441401852844,0.8048840317114426,0.8274332121379941,0.831033402460748,0.017447627946038904,26
7,112.57423868179322,3.128593844168644,47.915355587005614,1.1051873623624069,32,2,0.001,1,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 1, 'qkernel_shape': 3}",0.6763305928169624,0.707918649935093,0.6575757575757576,0.6787878787878788,0.6982683982683983,0.6837762554768181,0.017661626751627895,53,0.7730860377063429,0.8079671630795138,0.798420071272491,0.7657101214160592,0.7635663785267545,0.7817499544002323,0.018045592002775113,50
8,334.798326587677,4.241883979567793,144.15696358680725,1.3480806130763698,32,2,0.001,5,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 5, 'qkernel_shape': 2}",0.7317178710514929,0.7377758546083947,0.7337662337662337,0.7298701298701299,0.7484848484848485,0.7363229875562199,0.00662427572192232,20,0.8306710634343508,0.8504924034550936,0.8454048355736411,0.8149398337376522,0.8440436453712008,0.8371103563143876,0.012875904885669318,19
9,510.50478472709653,3.5380409802780597,223.8624629497528,2.067301288564727,32,2,0.001,5,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 5, 'qkernel_shape': 3}",0.7178710514928602,0.7291215923842492,0.7207792207792207,0.7082251082251082,0.7220779220779221,0.7196149789918721,0.006790694883177229,31,0.8288756665072763,0.843347666909736,0.8271201910632483,0.7980186367932194,0.8353377467298326,0.8265399816006624,0.015356810432804107,29
