,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_kernel_shape,param_learning_rate,param_max_vmap,param_n_qchannels,param_qkernel_shape,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,1249.1724882125854,13.18171660969797,559.3537473678589,0.9431363397562312,32,2,0.001,32,1,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.977498918217222,0.9718736477715276,0.9727272727272728,0.9705627705627704,0.9727272727272728,0.9730779764012132,0.0023480792376912,2,0.998536165068252,0.9970779049924448,0.9978938798360252,0.9967569210765518,0.9971497023289972,0.997482914660454,0.0006450362423836,1
1,1322.3466738700868,40.20867605348417,573.4508826732635,15.82878526572632,32,3,0.001,32,1,2,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.9787970575508438,0.9731717871051492,0.970995670995671,0.9705627705627704,0.9748917748917748,0.973683812221242,0.0029944490516999,1,0.9979106331405612,0.9969719066914248,0.9974634758582496,0.9962843796464066,0.9978201392943784,0.997290106926204,0.0006014619907122,2
2,1538.9215796470642,85.09485119915952,602.0368411064148,14.923384875454438,32,5,0.001,32,1,2,"{'batch_size': 32, 'kernel_shape': 5, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.9593249675465166,0.9666810904370402,0.9787878787878788,0.9675324675324676,0.9735930735930736,0.9691838955793952,0.0066010158969267,3,0.9969031658531744,0.9949872576510476,0.9979382746519144,0.9950623935276872,0.9976109569415432,0.9965004097250734,0.0012506400720946,3
3,1225.2292582035066,25.35390157948271,578.7111118793488,13.49952111348642,32,2,0.01,32,1,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.9749026395499784,0.9653829511034184,0.9376623376623376,0.9346320346320346,0.9727272727272728,0.9570614471350084,0.0173918237119211,6,0.9974820836227922,0.9960810699062554,0.9958186103068208,0.994486765830138,0.9958915983939612,0.9959520256119936,0.0009514375719875,4
4,1226.9971542358398,29.54550610203504,553.7902305603027,2.224698354244753,32,3,0.01,32,1,2,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.01, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.7520553872782345,0.9684119428818692,0.9757575757575756,0.9627705627705628,0.9722943722943724,0.9262579681965228,0.087208059253549,15,0.9859728976262868,0.9964381563813232,0.9972106511440318,0.995023265893344,0.9978028328407264,0.9944895607771423,0.0043588420883748,5
5,1539.085488319397,44.244256637560014,562.2575845241547,2.1553036293214545,32,5,0.0001,32,1,2,"{'batch_size': 32, 'kernel_shape': 5, 'learning_rate': 0.0001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.9649502379922112,0.9601903937689312,0.961038961038961,0.951948051948052,0.9584415584415584,0.9593138406379428,0.0042550929526606,4,0.9958393104713444,0.993168747791702,0.9939434936763722,0.9921797403129008,0.9942474852970388,0.9938757555098716,0.0012144667177407,6
6,2793.0919178009035,29.47380402390074,1317.0205705165863,8.47121862898872,32,3,0.001,32,1,3,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 3}",0.9463435742102986,0.9580268282128948,0.9675324675324676,0.9510822510822512,0.9549783549783548,0.9555926952032534,0.0071379398429102,7,0.99386497532457,0.9909660880612836,0.995925458846758,0.991994636504277,0.994925446807486,0.9935353211088748,0.0018291280583708,7
7,1300.2124346733094,18.919638314437368,553.2741423606873,2.400457949483419,32,3,0.0001,32,1,2,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.0001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 2}",0.9619212462137604,0.9519688446559932,0.9532467532467532,0.9497835497835496,0.961038961038961,0.9555918709878036,0.0049415437468171,8,0.9946769638845532,0.9914863066733824,0.9932911156191496,0.990157895053665,0.9934378442479368,0.9926100250957374,0.0015935551225179,8
8,2869.323734331131,15.81071165424278,1371.813965034485,21.319198979577767,32,2,0.001,32,1,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 3}",0.9593249675465166,0.9415837299870186,0.9662337662337662,0.964069264069264,0.9571428571428572,0.9576709169958844,0.0086726414503629,5,0.992163558554901,0.9877019417986634,0.9943475617464168,0.9942316837524005,0.992770417100582,0.9922430325905928,0.0024203195051622,9
9,2937.683476400375,56.585827067597535,1273.8765974521637,15.98408217732356,32,5,0.001,32,1,3,"{'batch_size': 32, 'kernel_shape': 5, 'learning_rate': 0.001, 'max_vmap': 32, 'n_qchannels': 1, 'qkernel_shape': 3}",0.9554305495456512,0.9584595413241022,0.9554112554112554,0.9471861471861472,0.954112554112554,0.954120009515942,0.0037495298328525,10,0.9908388142561132,0.9915983190624036,0.993228661895102,0.9909983867375378,0.9922075811296448,0.9917743526161604,0.0008730458525949,10
