,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,42.97319407463074,18.53358529529542,0.703141736984253,0.018413421731290618,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.7291666666666666,0.8333333333333334,0.7291666666666666,0.7291666666666666,0.75,0.7541666666666667,0.040397332145136106,36,0.8628472222222223,0.9010416666666667,0.8784722222222222,0.8156521739130436,0.8417391304347825,0.8599504830917875,0.029441212092179505,36
1,68.0239239692688,19.3998618396819,0.6983476161956788,0.013207533722928374,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.8333333333333334,0.8541666666666666,0.8541666666666666,0.7083333333333334,0.7708333333333334,0.8041666666666666,0.05682575707077437,30,0.9010416666666666,0.890625,0.9496527777777777,0.7182608695652173,0.8486956521739131,0.861655193236715,0.07856716953534285,35
2,88.6689199924469,9.100613397480725,0.6745476722717285,0.009806855255868364,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.8125,0.8958333333333334,0.7916666666666666,0.6875,0.75,0.7875,0.06897060565519521,35,0.9114583333333335,0.9027777777777778,0.953125,0.768695652173913,0.9130434782608696,0.8898200483091788,0.06301441434814585,30
3,63.45999984741211,8.152494103392462,1.390713596343994,0.027863755947248003,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.75,0.875,0.8333333333333334,0.7291666666666666,0.8541666666666666,0.8083333333333333,0.05803495115493383,29,0.8993055555555556,0.9392361111111112,0.9097222222222221,0.8313043478260869,0.9373913043478261,0.9033919082125603,0.03922793222938725,24
4,62.627516222000125,7.6581624143022164,1.3452755451202392,0.0381956609037247,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.7916666666666666,0.875,0.875,0.7708333333333334,0.8333333333333334,0.8291666666666666,0.04249182927993987,21,0.9149305555555556,0.9288194444444444,0.951388888888889,0.8539130434782609,0.9269565217391305,0.9152016908212561,0.032831400747156986,14
5,62.685857486724856,7.328694554612458,1.2622687816619873,0.05716525515977399,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.7708333333333334,0.875,0.8958333333333334,0.7708333333333334,0.7916666666666666,0.8208333333333334,0.05368374469468803,25,0.9097222222222223,0.9392361111111112,0.9774305555555556,0.8382608695652174,0.9113043478260869,0.9151908212560386,0.045640307203513406,15
6,65.82989416122436,6.542973169259958,2.201481819152832,0.0666105562827692,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.7708333333333334,0.875,0.8125,0.7291666666666666,0.8333333333333334,0.8041666666666666,0.050346024889977394,30,0.9288194444444444,0.9392361111111112,0.8871527777777778,0.8713043478260869,0.9269565217391305,0.9106938405797103,0.02650806404954605,21
7,75.46700901985169,7.740315061227787,2.234022521972656,0.0540844945105023,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.8125,0.875,0.8125,0.75,0.8541666666666666,0.8208333333333334,0.04289845892077916,25,0.9236111111111112,0.9409722222222221,0.9201388888888888,0.8504347826086956,0.9339130434782609,0.9138140096618358,0.03254060044229859,17
8,89.78583564758301,17.73160869925956,2.1711143016815186,0.11564096806495577,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.7708333333333334,0.875,0.8333333333333334,0.75,0.8541666666666666,0.8166666666666668,0.048232653761625936,28,0.9097222222222222,0.9357638888888888,0.9288194444444444,0.8521739130434782,0.9147826086956522,0.9082524154589372,0.029561752452682853,22
9,109.43969926834106,15.461831202743753,3.295456314086914,0.15451622567488066,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.7708333333333334,0.9166666666666666,0.7916666666666666,0.8333333333333334,0.8958333333333334,0.8416666666666666,0.0568257570707744,14,0.9357638888888888,0.982638888888889,0.9375,0.9095652173913044,0.9495652173913045,0.9430066425120772,0.02372694402247799,3
10,109.24817004203797,6.703334898698779,3.32179970741272,0.10408220905402797,32,0.001,1,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.8333333333333334,0.8958333333333334,0.875,0.8541666666666666,0.8958333333333334,0.8708333333333333,0.02429563289518876,1,0.9184027777777777,0.9652777777777779,0.9513888888888888,0.9252173913043478,0.9721739130434782,0.9464921497584541,0.02134506502763262,2
