,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,46.358619689941406,15.757801565581955,2.126908302307129,0.6613425597580173,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.7209000432713111,0.7096495023799221,0.6852813852813853,0.7155844155844155,0.7346320346320346,0.7132094762298137,0.016225676224367176,31
1,39.52384405136108,12.972636551174372,2.1076348781585694,0.6865728057895294,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.7209000432713111,0.7096495023799221,0.6852813852813853,0.7155844155844155,0.7346320346320346,0.7132094762298137,0.016225676224367176,31
2,52.58617205619812,15.45217839209535,1.9589706420898438,0.5998697519908939,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.7209000432713111,0.7096495023799221,0.6852813852813853,0.7155844155844155,0.7346320346320346,0.7132094762298137,0.016225676224367176,31
3,18.40388674736023,3.10980631855445,1.5842455863952636,0.5164139377187331,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.7252271743833838,0.7265253137170056,0.7,0.7242424242424242,0.7255411255411255,0.7203072075767878,0.010179719292580611,28
4,24.32041230201721,9.829938778120928,1.7632163524627686,0.5967935920798708,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.7252271743833838,0.7265253137170056,0.7,0.7242424242424242,0.7255411255411255,0.7203072075767878,0.010179719292580611,28
5,23.750802850723268,7.398548539246469,1.5775405883789062,0.48298876230248045,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.7252271743833838,0.7265253137170056,0.7,0.7242424242424242,0.7255411255411255,0.7203072075767878,0.010179719292580611,28
6,25.00222873687744,7.243401523817175,2.1867011547088624,0.6704086048775245,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.7459974037213327,0.7260926006057984,0.7116883116883117,0.7406926406926407,0.7467532467532467,0.7342448406922661,0.013501208123105417,13
7,22.88541603088379,8.224190970942582,2.1556716442108153,0.5803826645215999,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.7459974037213327,0.7260926006057984,0.7116883116883117,0.7406926406926407,0.7467532467532467,0.7342448406922661,0.013501208123105417,13
8,23.52588906288147,8.290509828102229,1.941506290435791,0.6929634644319824,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.7459974037213327,0.7260926006057984,0.7116883116883117,0.7406926406926407,0.7467532467532467,0.7342448406922661,0.013501208123105417,13
9,22.910410118103027,9.693393825191547,2.0400890827178957,0.7099677296581862,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.7555170921678926,0.7369104283859801,0.712987012987013,0.7411255411255411,0.7380952380952381,0.736927062552333,0.013694577813292273,7
10,19.999981355667114,7.668371917107232,2.017949104309082,0.6816127892718156,32,0.001,1,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.7555170921678926,0.7369104283859801,0.712987012987013,0.7411255411255411,0.7380952380952381,0.736927062552333,0.013694577813292273,7
11,20.927224922180176,6.48398783062744,2.0129959106445314,0.6611062679967056,32,0.001,1,15,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'full'}",0.7555170921678926,0.7369104283859801,0.712987012987013,0.7411255411255411,0.7380952380952381,0.736927062552333,0.013694577813292273,7
12,22.180164670944215,8.747471243564085,2.07398362159729,0.6676838476670044,32,0.01,1,1,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.7563825183903072,0.7421029857204673,0.7186147186147186,0.7428571428571429,0.7398268398268398,0.7399568410818952,0.012151737768463726,4
13,15.170612335205078,7.288158214389226,1.5487098693847656,0.5358605842201317,32,0.01,1,1,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.7563825183903072,0.7421029857204673,0.7186147186147186,0.7428571428571429,0.7398268398268398,0.7399568410818952,0.012151737768463726,4
14,18.763810396194458,8.069867169888184,1.8248888015747071,0.6844707329340567,32,0.01,1,1,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.7563825183903072,0.7421029857204673,0.7186147186147186,0.7428571428571429,0.7398268398268398,0.7399568410818952,0.012151737768463726,4
