,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,73.83372583389283,7.205872772111164,3.690527391433716,0.043575064555831,32,0.01,1,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.6041666666666666,0.5625,0.4375,0.6666666666666666,0.4375,0.5416666666666666,0.0912870929175276,4,0.6313043478260869,0.6121739130434783,0.4504347826086957,0.6939130434782609,0.5520833333333333,0.5879818840579709,0.0823303245842366,1
1,30.68146677017212,2.7716428245570506,1.564457368850708,0.0263095090947258,32,0.1,1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.5,0.625,0.5625,0.5625,0.5625,0.5625,0.0395284707521047,2,0.5860869565217391,0.6469565217391304,0.577391304347826,0.5321739130434783,0.5659722222222222,0.5817161835748792,0.0374070016139971,2
2,27.197246074676517,4.027200223694399,0.5365544319152832,0.0118784516034408,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5416666666666666,0.625,0.4583333333333333,0.5208333333333334,0.5416666666666666,0.5374999999999999,0.0533593686452737,6,0.6643478260869565,0.6330434782608695,0.471304347826087,0.5947826086956521,0.5399305555555556,0.5806817632850242,0.0686508165212479,3
3,447.7481569766998,61.22667707666188,14.5267258644104,0.3605234113514707,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5416666666666666,0.5208333333333334,0.5416666666666666,0.5625,0.4166666666666667,0.5166666666666666,0.0517069735249618,17,0.6156521739130435,0.6330434782608696,0.5478260869565217,0.6226086956521739,0.4444444444444445,0.5727149758454108,0.0707747136677453,4
4,13.006088781356812,0.7634150782121827,0.4854912281036377,0.0117389519651567,32,0.1,1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.6458333333333334,0.5416666666666666,0.4375,0.5,0.5416666666666666,0.5333333333333333,0.067956276792917,8,0.6799999999999999,0.6069565217391304,0.4278260869565218,0.5530434782608695,0.5572916666666666,0.5650235507246376,0.0824674556146832,5
5,84.48922023773193,10.503702534264647,3.54370436668396,0.0158985601731474,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.6041666666666666,0.6458333333333334,0.4583333333333333,0.6041666666666666,0.4166666666666667,0.5458333333333333,0.0907147544044885,3,0.6956521739130435,0.6,0.5043478260869565,0.6034782608695652,0.4010416666666666,0.5609039855072464,0.1002523832175063,6
6,884.8314139842987,13.21801034537107,33.55190324783325,0.7153765473694953,32,0.01,1,2,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.5041666666666667,0.0242956328951887,21,0.5530434782608696,0.6052173913043478,0.5182608695652173,0.5443478260869565,0.5034722222222222,0.5448683574879227,0.0350163043842743,7
7,60.153640270233154,9.5498186844896,1.9279386043548583,0.0290820233509042,32,0.01,1,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.6458333333333334,0.5833333333333334,0.5208333333333334,0.6875,0.3958333333333333,0.5666666666666667,0.1024017143953709,1,0.6852173913043478,0.5095652173913043,0.4452173913043478,0.6695652173913045,0.3958333333333333,0.5410797101449275,0.117101199059856,8
8,318.62967734336854,8.776015532478906,14.247610139846802,0.1010282474479788,32,0.1,1,2,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5208333333333334,0.5208333333333334,0.5,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.0131761569173682,13,0.5930434782608696,0.4260869565217391,0.4939130434782609,0.52,0.6545138888888888,0.5375114734299518,0.0792417396930882,9
9,6680.203965520859,172.7213956501496,22.757551860809325,2.016866242619537,32,0.1,1,3,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.4791666666666667,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5,0.5083333333333334,0.0166666666666666,20,0.5756521739130436,0.6330434782608695,0.4434782608695652,0.5321739130434783,0.5017361111111112,0.5372167874396137,0.0643913875383056,10
10,4641.311425876617,540.6995906689921,10.943306303024292,0.9735610147722478,32,0.1,1,3,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.5,0.5833333333333334,0.4791666666666667,0.5625,0.5625,0.5375,0.040397332145136,5,0.5356521739130435,0.6382608695652174,0.3565217391304348,0.5565217391304348,0.595486111111111,0.5364885265700483,0.0965695588195345,11
