,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_observable_type,param_temperature,param_visible_qubits,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,135.1713734149933,15.330888775731866,4.0090090274810795,0.18886506564754033,32,0.001,sum,1.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'single'}",0.922977066205106,0.9173517957594115,0.9329004329004329,0.9268398268398268,0.9225108225108225,0.92451598884312,0.005165535066801421,6,0.9742348952421046,0.9678362309295464,0.9793217977041108,0.9739823805252735,0.9742246708763989,0.9739199950554868,0.0036438314786768353,6
1,6.362931871414185,0.23123121237606684,0.0,0.0,32,0.001,sum,1.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
2,0.003569507598876953,0.0001221266072822174,0.0,0.0,32,0.001,sum,1.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
3,251.40522093772887,9.662768722401598,3.569454574584961,0.07882436849707528,32,0.001,sum,10.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'single'}",0.9182172219818261,0.9186499350930333,0.9246753246753247,0.9160173160173161,0.922077922077922,0.9199275439690844,0.0030663631885531626,7,0.9688229678020763,0.9688655016134513,0.9694623863041241,0.9654593283290092,0.9712592476658861,0.9687738863429093,0.0018787309694196191,7
4,6.491980695724488,0.14786972738275528,0.0,0.0,32,0.001,sum,10.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
5,0.003513193130493164,9.092080557152485e-05,0.0,0.0,32,0.001,sum,10.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
6,476.79448757171633,78.36185804753727,3.1692980766296386,0.11671588887267029,32,0.001,sum,100.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'single'}",0.9104283859800952,0.8935525746430116,0.9086580086580086,0.8922077922077922,0.9121212121212121,0.903393594722024,0.00866419646226416,9,0.9647995429293119,0.9554962603415765,0.966143309475509,0.9554757619354333,0.9671169856070502,0.9618063720577762,0.005212769872022051,8
7,413.746589756012,29.432507909653985,0.6795132160186768,1.3590264320373535,32,0.001,sum,100.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'half'}",,,,,0.9155844155844156,,,10,,,,,0.9706843724228433,,,10
8,0.002418994903564453,8.137264874732278e-05,0.0,0.0,32,0.001,sum,100.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
9,0.5279537677764893,0.42716866387724267,0.0,0.0,32,0.001,product,1.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 1.0, 'visible_qubits': 'single'}",,,,,,,,10,,,,,,,,10
