,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,9.955165386199951,0.2131100196227546,2.1300775051116942,0.008981785276679047,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.6458333333333334,0.7291666666666666,0.7083333333333334,0.6666666666666666,0.75,0.7,0.038640077064565424,12,0.72,0.7965217391304348,0.7617391304347826,0.7534722222222222,0.7621527777777778,0.7587771739130434,0.024399310729865124,12
1,10.05336527824402,0.2726310104648539,2.142953634262085,0.036236877343278275,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.6666666666666666,0.8125,0.75,0.7083333333333334,0.7291666666666666,0.7333333333333333,0.04823265376162594,9,0.7565217391304347,0.8469565217391304,0.8,0.8055555555555556,0.861111111111111,0.8140289855072462,0.03708542578704518,9
2,8.419272661209106,0.6371491007952759,2.098405694961548,0.01585945305133214,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.7083333333333334,0.75,0.75,0.7291666666666666,0.8333333333333334,0.7541666666666667,0.042491829279939886,3,0.7634782608695652,0.8417391304347827,0.7913043478260869,0.8055555555555556,0.8645833333333333,0.8133321256038647,0.03595761416357372,10
3,18.487078189849854,1.473035048229947,3.9563983917236327,0.05729212213183017,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.7083333333333334,0.7708333333333334,0.7708333333333334,0.75,0.7916666666666666,0.7583333333333333,0.02825970826302194,1,0.7721739130434783,0.8417391304347827,0.808695652173913,0.8038194444444445,0.8472222222222222,0.814730072463768,0.02739237757122671,8
4,15.84120979309082,0.6560572029587043,3.949727487564087,0.061030527747088066,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.7083333333333334,0.7916666666666666,0.75,0.7291666666666666,0.7916666666666666,0.7541666666666667,0.03333333333333331,3,0.7947826086956521,0.8260869565217391,0.8104347826086956,0.796875,0.8854166666666667,0.8227192028985508,0.03329143081454268,6
5,14.56380000114441,0.6096746394869179,3.97839241027832,0.06708914594256137,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.6666666666666666,0.7708333333333334,0.6875,0.7083333333333334,0.7916666666666666,0.725,0.04823265376162594,11,0.8208695652173913,0.8330434782608696,0.817391304347826,0.8055555555555555,0.8645833333333334,0.8282886473429951,0.020151927820195276,5
6,24.546248817443846,0.4124939543290072,6.593765497207642,0.07365112717988798,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.7083333333333334,0.7708333333333334,0.7291666666666666,0.7083333333333334,0.8125,0.7458333333333333,0.04039733214513607,8,0.7652173913043477,0.8452173913043478,0.7739130434782608,0.8090277777777778,0.873263888888889,0.8133278985507246,0.04122112427493663,11
7,23.87036852836609,0.6866380003706546,6.647883081436158,0.12893991218575154,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.6666666666666666,0.7916666666666666,0.7291666666666666,0.7708333333333334,0.7916666666666666,0.75,0.04750730937913076,5,0.7982608695652174,0.8417391304347827,0.8278260869565217,0.798611111111111,0.8993055555555556,0.8331485507246377,0.03711835395126439,3
8,22.914850997924805,0.4938642083778902,6.5790351867675785,0.0188036948182026,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.6875,0.7916666666666666,0.7291666666666666,0.75,0.7916666666666666,0.7499999999999999,0.03952847075210473,7,0.8034782608695652,0.8469565217391305,0.7808695652173914,0.8072916666666666,0.90625,0.8289692028985506,0.04411154970611801,4
9,51.015454339981076,0.9156062598374376,13.309448862075806,0.30936646396347195,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.7083333333333334,0.7708333333333334,0.7291666666666666,0.7291666666666666,0.8125,0.75,0.037267799624996496,5,0.7878260869565217,0.8765217391304347,0.8330434782608696,0.8159722222222222,0.8940972222222222,0.841492149758454,0.03897963270395823,2
10,50.28113021850586,0.6751007368868014,13.085946464538575,0.12996530179496615,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.6875,0.7708333333333334,0.7916666666666666,0.7291666666666666,0.8125,0.7583333333333333,0.044876373392787536,1,0.8139130434782609,0.88,0.8556521739130434,0.8038194444444444,0.8784722222222223,0.8463713768115942,0.0319740273328818,1
11,49.56288504600525,1.262640110995959,13.307408380508424,0.033155698313649735,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.6875,0.6875,0.7916666666666666,0.7708333333333334,0.7291666666666666,0.7333333333333333,0.042491829279939865,9,0.7878260869565217,0.8469565217391304,0.7843478260869565,0.7725694444444446,0.9027777777777779,0.8188955314009663,0.049251621474286425,7
