,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,14.052869510650634,0.914206675687876,1.1239699363708495,0.20328181035597787,32,0.001,1,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1}",0.789701427953267,0.7806144526179143,0.7606060606060606,0.7844155844155845,0.8112554112554112,0.7853185873696475,0.016282391728496493,7,0.8817885897715398,0.8723433689104617,0.8426632675788422,0.8617440089572184,0.8866848660329996,0.8690448202502123,0.015708236482710344,8
1,20.00774040222168,1.185245011959995,2.58762583732605,0.19746612811813308,32,0.001,5,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5}",0.8113370835136304,0.810471657291216,0.7796536796536796,0.803030303030303,0.8151515151515152,0.8039288477280688,0.01275719205895324,6,0.8914855549123822,0.8875305623471884,0.869188793845524,0.8821611095393173,0.8999273128946623,0.8860586667078149,0.010234651940203936,6
2,26.74904179573059,1.39655792578923,4.932860803604126,0.28452250996296813,32,0.001,10,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10}",0.807442665512765,0.8130679359584595,0.7956709956709956,0.8051948051948052,0.819047619047619,0.8080848042769289,0.007847063018018853,4,0.8942625600469098,0.8933746244552911,0.8812619264039296,0.889635992607887,0.8989227861283506,0.8914915779284737,0.0059082320304530015,4
3,41.45215539932251,3.8267600608319494,7.706823539733887,0.33170636837378037,32,0.001,15,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15}",0.8057118130679359,0.8078753786239723,0.79004329004329,0.8043290043290043,0.8125541125541126,0.804102719723663,0.007562631089815355,5,0.8905428466182033,0.8893552810833733,0.8752859327125082,0.8886608115673327,0.8998197119002185,0.8887329167763272,0.007841004898048514,5
4,8.392269372940063,0.704870547599405,0.9304507732391357,0.010389393784057564,32,0.01,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 1}",0.7944612721765469,0.771960190393769,0.770995670995671,0.7822510822510822,0.7982683982683982,0.7835873228170934,0.011218753887224481,8,0.8781733711218528,0.8742921414544219,0.8585942343925888,0.8670992276806944,0.8905427002883406,0.8737403349875799,0.010731117825650638,7
5,14.339955282211303,1.525720412481174,2.75600323677063,0.1961193721410213,32,0.01,5,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 5}",0.8169623539593249,0.8130679359584595,0.8051948051948052,0.8012987012987013,0.8177489177489178,0.8108545428320418,0.006528148419356793,2,0.896673457574368,0.897696208013425,0.8928294095338996,0.8927255708119888,0.9055654545126203,0.8970980200892603,0.004681343324115825,2
6,22.502633714675902,2.007145295803287,5.162818908691406,0.47957202973718865,32,0.01,10,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 10}",0.8031155344006924,0.8182604932929468,0.8025974025974026,0.80995670995671,0.8181818181818182,0.8104223916859139,0.006877238013073902,3,0.8928868374166484,0.8968864749772192,0.8906713700089691,0.8913553511554693,0.9052817791636318,0.8954163625443876,0.005383176398194505,3
7,32.90739345550537,1.4707305683616838,7.362173128128052,0.2344197227241773,32,0.01,15,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 15}",0.8165296408481177,0.812202509736045,0.8112554112554112,0.8125541125541126,0.8186147186147186,0.814231278601681,0.002838365405920437,1,0.9004856376060922,0.8941106770480909,0.8960273411869517,0.8992937462001047,0.9132073824816551,0.9006249569045789,0.006688540611298063,1
8,6.367934513092041,0.19688025521124058,1.0767640590667724,0.11311324396877447,32,0.1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 1}",0.7667676330592818,0.7732583297273907,0.7670995670995671,0.78008658008658,0.7956709956709956,0.7765766211287631,0.01071407307132603,10,0.8473692123800003,0.8567531885587805,0.8340160603889888,0.829956568325879,0.874404808485279,0.8484999676277856,0.016087860451845577,10
9,11.24697995185852,0.9632155368036136,2.4565539360046387,0.24423192064033297,32,0.1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 5}",0.7472955430549546,0.7732583297273907,0.7865800865800866,0.7865800865800866,0.7904761904761904,0.7768380472837417,0.01588324616022772,9,0.8374632576811181,0.8617935323607514,0.8464428465654965,0.8633730729640086,0.86032262239425,0.8538790663931248,0.0101889203280264,9
10,19.627979850769044,1.955462784166214,4.6442413330078125,0.23684055239090832,32,0.1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 10}",0.7810471657291216,0.7529208135006491,0.7636363636363637,0.8064935064935065,0.7779220779220779,0.7764039854563437,0.018131268770081404,11,0.8543793837063322,0.84265390942418,0.7923218037237469,0.8687553800497222,0.8639140877542544,0.8444049129316472,0.027527293715175753,11
11,32.20036878585815,4.364052950935585,7.221749210357666,0.17380170618490434,32,0.1,15,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 15}",0.7373431414971874,0.7801817395067071,0.7891774891774892,0.7787878787878788,0.7956709956709956,0.7762322489280516,0.020395766799179697,12,0.8449710947895446,0.8392473166785457,0.8484549099161465,0.8027658722753622,0.8642316235560397,0.8399341634431277,0.020348434792849972,12
