,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,42.105112075805664,2.710976227587863,1.5511966228485108,0.04570738781307384,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 1}",0.4791666666666667,0.5208333333333334,0.5,0.5,0.5208333333333334,0.5041666666666667,0.0155902391115581,34,0.6799999999999999,0.6753472222222222,0.6996527777777778,0.5069444444444445,0.5347222222222222,0.6193333333333333,0.08131360995294848,26
1,62.884223794937135,17.397767611293816,2.0966105461120605,0.05431434766648739,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 5}",0.6041666666666666,0.5833333333333334,0.6666666666666666,0.5416666666666666,0.5833333333333334,0.5958333333333333,0.04082482904638629,23,0.6904347826086956,0.5920138888888888,0.736111111111111,0.5277777777777778,0.5069444444444444,0.6106564009661835,0.08952770949686026,28
2,55.14478883743286,10.163222194533516,2.932724142074585,0.054678777399364956,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'repeats': 10}",0.5625,0.6041666666666666,0.3958333333333333,0.5208333333333334,0.375,0.4916666666666666,0.09090593428863095,36,0.6156521739130435,0.625,0.38541666666666663,0.5815972222222222,0.3784722222222222,0.5172276570048309,0.11142074512872172,34
3,181.1074733734131,38.69616267629868,3.4820874691009522,0.025762813495995095,32,0.001,1,5,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 1}",0.5625,0.7291666666666666,0.6875,0.6041666666666666,0.75,0.6666666666666666,0.07216878364870323,7,0.6678260869565218,0.7777777777777778,0.71875,0.6232638888888888,0.7430555555555556,0.7061346618357488,0.054754263998410296,6
4,236.7357982635498,34.11791412146117,4.408089065551758,0.11472162210416156,32,0.001,1,5,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 5}",0.6666666666666666,0.5833333333333334,0.6875,0.5416666666666666,0.6458333333333334,0.625,0.05432668671002208,17,0.6695652173913044,0.65625,0.671875,0.5902777777777778,0.6805555555555556,0.6537047101449275,0.03265620085909716,19
5,221.40930690765381,26.85558238892034,5.590512323379516,0.19317942870374508,32,0.001,1,5,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'repeats': 10}",0.4791666666666667,0.5,0.5,0.5208333333333334,0.6041666666666666,0.5208333333333333,0.043700368673756304,32,0.5947826086956521,0.484375,0.48958333333333337,0.6180555555555556,0.5868055555555556,0.5547204106280192,0.056279823128616555,33
6,179.69606428146363,19.637172747057544,6.941075849533081,0.07811041321044927,32,0.001,1,10,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 1}",0.6041666666666666,0.7083333333333334,0.6875,0.6041666666666666,0.8125,0.6833333333333333,0.07728015412913088,4,0.702608695652174,0.7864583333333334,0.7569444444444444,0.5972222222222222,0.842013888888889,0.7370495169082125,0.08317740219013117,1
7,342.37687530517576,126.39368316685733,8.273104858398437,0.15582288162349286,32,0.001,1,10,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 5}",0.6666666666666666,0.6041666666666666,0.6875,0.5625,0.75,0.6541666666666666,0.06535161308899218,9,0.693913043478261,0.6458333333333333,0.7361111111111112,0.6145833333333333,0.767361111111111,0.69156038647343,0.05612928293739895,8
8,305.9156719207764,38.37547436933793,9.841997957229614,0.23889870227443025,32,0.001,1,10,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'repeats': 10}",0.5833333333333334,0.7083333333333334,0.7291666666666666,0.5625,0.5833333333333334,0.6333333333333334,0.070464727188699,14,0.6747826086956521,0.6736111111111112,0.7482638888888888,0.642361111111111,0.5920138888888888,0.6662065217391304,0.050862440153955114,16
9,311.58786368370056,52.46014017544151,11.823971319198609,0.4594986294259621,32,0.001,1,15,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'repeats': 1}",0.6041666666666666,0.6666666666666666,0.6875,0.5833333333333334,0.7291666666666666,0.6541666666666666,0.05368374469468801,9,0.6817391304347826,0.7986111111111112,0.75,0.5746527777777778,0.8229166666666667,0.7255839371980677,0.08956043148884898,5
10,327.00552434921264,38.955333998748955,13.134365558624268,0.404959191254861,32,0.001,1,15,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'repeats': 5}",0.6458333333333334,0.6458333333333334,0.6875,0.5833333333333334,0.6875,0.65,0.03818813079129865,11,0.6539130434782608,0.6614583333333334,0.75,0.5711805555555556,0.7135416666666666,0.6700187198067632,0.06065131131944418,13
