,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma_factor,param_max_vmap,param_t,param_trotter_steps,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,8.459805679321288,0.0700817565966745,14.39955015182495,0.17227254270941342,0.1,0.1,1,0.01,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 1}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.4444444444444444,0.3541666666666667,0.3767361111111111,0.39652173913043476,0.37722101449275364,0.04333669033274238,90
1,12.964673328399659,0.0377108451874971,24.003284645080566,0.15830418056007453,0.1,0.1,1,0.01,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 3}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.4444444444444445,0.3524305555555556,0.375,0.3913043478260869,0.3754830917874396,0.04310179984475867,92
2,17.78256721496582,0.024684518885071328,32.77600932121277,0.220345856766838,0.1,0.1,1,0.01,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 5}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.4461805555555556,0.3524305555555556,0.375,0.3913043478260869,0.3758303140096618,0.04365933154754078,91
3,8.118872356414794,0.15068209019273007,15.009796619415283,0.08639383555128415,0.1,0.1,1,0.1,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 1}",0.5,0.5,0.5,0.5,0.5833333333333334,0.5166666666666667,0.03333333333333335,79,0.3802083333333333,0.5017361111111112,0.3940972222222222,0.4253472222222222,0.30782608695652175,0.4018429951690822,0.06308457485489417,80
4,12.572903728485107,0.09196264423737663,24.09176983833313,0.21369973133787373,0.1,0.1,1,0.1,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 3}",0.5,0.5,0.5,0.5,0.5625,0.5125,0.025,82,0.4270833333333333,0.4340277777777778,0.4861111111111111,0.4444444444444444,0.3426086956521739,0.4268550724637681,0.04683933375546096,75
5,17.7364709854126,0.3847168643185995,33.2327624797821,0.3919932511042099,0.1,0.1,1,0.1,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 5}",0.5,0.5,0.5,0.5,0.5625,0.5125,0.025,82,0.4288194444444444,0.4444444444444445,0.5034722222222222,0.4322916666666667,0.35478260869565215,0.43276207729468597,0.04739823933614706,67
6,8.37130789756775,0.12549437127795718,14.462371730804444,0.1242092092331512,0.1,0.1,1,1.0,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 1}",0.5,0.5,0.5,0.5,0.6041666666666666,0.5208333333333333,0.04166666666666665,68,0.4826388888888889,0.4097222222222222,0.40277777777777785,0.4444444444444445,0.3304347826086957,0.4140036231884058,0.05052829783749214,78
7,12.81077733039856,0.22693599473802614,23.93684434890747,0.329020183107002,0.1,0.1,1,1.0,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 3}",0.5,0.5,0.5,0.5,0.625,0.525,0.049999999999999996,66,0.3767361111111111,0.4027777777777778,0.5086805555555556,0.3142361111111111,0.33304347826086955,0.387094806763285,0.06836122893840492,81
8,17.651300764083864,0.30466292876403916,32.80965576171875,0.30117866122865844,0.1,0.1,1,1.0,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 5}",0.5,0.5,0.5,0.5,0.6666666666666666,0.5333333333333333,0.06666666666666665,54,0.42534722222222227,0.46874999999999994,0.5572916666666666,0.4618055555555556,0.2704347826086956,0.43672584541062803,0.09377936470964238,66
9,8.33157262802124,0.10412772185310373,14.078316354751587,0.16714575512009816,0.1,1.0,1,0.01,1,"{'C': 0.1, 'gamma_factor': 1.0, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 1}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.4444444444444444,0.35416666666666663,0.375,0.39826086956521733,0.3772216183574879,0.043509077092429696,89
10,12.723424577713013,0.18538597977305069,24.335831594467162,0.1793043774634992,0.1,1.0,1,0.01,3,"{'C': 0.1, 'gamma_factor': 1.0, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 3}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.44270833333333337,0.3524305555555556,0.375,0.3913043478260869,0.3751358695652174,0.042548296966036465,93
11,17.382348489761352,0.23347808847513202,33.17186093330383,0.29742710466716543,0.1,1.0,1,0.01,5,"{'C': 0.1, 'gamma_factor': 1.0, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 5}",0.5,0.5,0.5,0.5,0.4791666666666667,0.4958333333333333,0.008333333333333326,97,0.31423611111111116,0.44097222222222227,0.3506944444444445,0.3732638888888889,0.38782608695652177,0.3733985507246377,0.041928614854779764,100
