,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,4843.744245767593,735.8297383151249,49.54644408226013,2.73209160428046,32,0.01,32,15,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'n_layers': 15, 'repeats': 5}",0.8958333333333334,0.9583333333333334,0.9375,0.8958333333333334,0.875,0.9125,0.0306186217847897,1,0.9773913043478262,0.951304347826087,0.9965277777777778,0.987847222222222,0.9652777777777776,0.9756696859903382,0.0160497838715512,1
1,6470.343920516968,489.6349596410873,36.19458575248719,2.140645267737714,32,0.001,32,10,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 10, 'repeats': 5}",0.8958333333333334,0.8541666666666666,0.9166666666666666,0.9375,0.9166666666666666,0.9041666666666666,0.0282597082630219,3,0.9756521739130436,0.9582608695652174,0.9895833333333331,0.9739583333333331,0.9670138888888888,0.9728937198067632,0.0103535345510408,2
2,9076.462125587464,974.5858989570766,45.42342391014099,2.179394664626347,32,0.001,32,15,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 15, 'repeats': 5}",0.875,0.9166666666666666,0.9375,0.9166666666666666,0.8958333333333334,0.9083333333333332,0.0212459146399699,2,0.9652173913043478,0.977391304347826,0.9791666666666669,0.9722222222222222,0.9375,0.9662995169082128,0.0151937677994473,3
3,7134.231065702438,956.5594053071115,54.552837657928464,3.2526808140791164,32,0.001,32,15,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 15, 'repeats': 1}",0.7083333333333334,0.875,0.8541666666666666,0.7916666666666666,0.8541666666666666,0.8166666666666667,0.0609530784930324,12,0.9460869565217392,0.954782608695652,0.9826388888888888,0.954861111111111,0.9791666666666666,0.9635072463768116,0.014598483793595,4
4,4273.2358406543735,181.7851347626048,44.39357328414917,2.694273281987529,32,0.01,32,15,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'n_layers': 15, 'repeats': 1}",0.8125,0.7916666666666666,0.7916666666666666,0.8333333333333334,0.875,0.8208333333333332,0.0311804782231161,11,0.9252173913043478,0.982608695652174,0.984375,0.953125,0.9635416666666666,0.9617735507246375,0.0217219024428384,5
5,4000.576907444,378.1610389902747,29.48500509262085,0.870188158763852,32,0.001,32,10,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 10, 'repeats': 1}",0.8125,0.8125,0.8958333333333334,0.7916666666666666,0.8333333333333334,0.8291666666666666,0.0358430219460109,10,0.9652173913043478,0.9495652173913044,0.982638888888889,0.921875,0.9756944444444444,0.9589981884057972,0.0216491950395632,6
6,6345.589240026474,445.8106333913722,53.384541749954224,5.908421221359972,32,0.01,32,15,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'n_layers': 15, 'repeats': 10}",0.9583333333333334,0.8541666666666666,0.8541666666666666,0.875,0.9166666666666666,0.8916666666666666,0.0403973321451361,4,0.9652173913043478,0.9391304347826088,0.9618055555555556,0.9565972222222224,0.9600694444444444,0.9565640096618356,0.0091495740487286,7
7,5892.391759300232,508.1330031725073,47.62301306724548,2.41991970642702,32,0.1,32,15,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 32, 'n_layers': 15, 'repeats': 5}",0.7916666666666666,0.8333333333333334,0.9583333333333334,0.9375,0.8541666666666666,0.875,0.0631906287004296,5,0.8817391304347827,0.951304347826087,0.9739583333333334,0.9670138888888888,0.951388888888889,0.9450809178743962,0.0328805838021136,8
8,3313.693186855316,359.17793571972106,33.91993083953857,2.3553390484418038,32,0.01,32,10,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 32, 'n_layers': 10, 'repeats': 1}",0.7291666666666666,0.8125,0.8125,0.8125,0.8333333333333334,0.8,0.0363241578628389,13,0.8817391304347827,0.9408695652173912,0.984375,0.9635416666666666,0.9444444444444444,0.9429939613526568,0.034331821460915,9
9,8051.781147813797,812.1281407104177,47.66285133361816,3.339597447467828,32,0.001,32,15,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 15, 'repeats': 10}",0.8333333333333334,0.7708333333333334,0.9375,0.875,0.8125,0.8458333333333334,0.0568257570707743,8,0.9478260869565216,0.937391304347826,0.954861111111111,0.9548611111111112,0.9131944444444444,0.941626811594203,0.0155888640111914,10
10,10415.153165769578,1409.6212535990394,53.62692246437073,3.43021954499743,32,0.001,32,10,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 32, 'n_layers': 10, 'repeats': 10}",0.875,0.875,0.8958333333333334,0.875,0.8125,0.8666666666666668,0.0282597082630219,6,0.9339130434782608,0.9773913043478262,0.9722222222222222,0.9149305555555556,0.9010416666666666,0.9398997584541064,0.0303960879867596,11
