,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0009468555450439453,3.823615616341376e-05,0.0005603790283203125,1.844601882124647e-05,0.1,0.001,"{'C': 0.1, 'gamma': 0.001}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.525,0.008333333333333304,13
1,0.0008745670318603515,4.999868967890691e-05,0.0005380153656005859,1.9629596858484577e-05,0.1,0.01,"{'C': 0.1, 'gamma': 0.01}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.525,0.008333333333333304,13
2,0.0011806011199951172,0.0005880998632925163,0.000557565689086914,3.386403364217658e-05,0.1,0.1,"{'C': 0.1, 'gamma': 0.1}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.525,0.008333333333333304,13
3,0.0008548736572265625,1.1132488290453669e-05,0.0005353927612304687,4.234464316233316e-06,0.1,1.0,"{'C': 0.1, 'gamma': 1.0}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5416666666666666,0.525,0.008333333333333304,13
4,0.0010733604431152344,0.00022675985919477331,0.001112222671508789,0.0007989995602302632,1.0,0.001,"{'C': 1.0, 'gamma': 0.001}",0.5416666666666666,0.5,0.5625,0.5,0.6041666666666666,0.5416666666666666,0.03952847075210473,11
5,0.0010805130004882812,0.0002183968843167555,0.0006957054138183594,0.00022513168427759487,1.0,0.01,"{'C': 1.0, 'gamma': 0.01}",0.5416666666666666,0.5,0.5625,0.5208333333333334,0.5833333333333334,0.5416666666666667,0.029462782549439487,10
6,0.0009708881378173828,0.0001305310170563142,0.0005593299865722656,3.275874747284185e-05,1.0,0.1,"{'C': 1.0, 'gamma': 0.1}",0.5833333333333334,0.625,0.5416666666666666,0.4791666666666667,0.5833333333333334,0.5625,0.04930066485916347,7
7,0.0009118080139160156,5.7350963542731244e-05,0.0005340576171875,1.7843524251760298e-05,1.0,1.0,"{'C': 1.0, 'gamma': 1.0}",0.5625,0.6666666666666666,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.6041666666666666,0.05270462766947298,5
8,0.0009621143341064453,0.00014191410855668037,0.0005373001098632812,2.5476941267365217e-05,10.0,0.001,"{'C': 10.0, 'gamma': 0.001}",0.5416666666666666,0.5,0.6041666666666666,0.5,0.6041666666666666,0.5499999999999999,0.04677071733467425,9
9,0.0013907432556152343,0.0005696286273795411,0.0005917072296142579,4.020203872150087e-05,10.0,0.01,"{'C': 10.0, 'gamma': 0.01}",0.5833333333333334,0.5625,0.5416666666666666,0.5416666666666666,0.5833333333333334,0.5625,0.018633899812498283,7
10,0.001707601547241211,0.0010620827431024316,0.0008234500885009766,0.0004378384479768546,10.0,0.1,"{'C': 10.0, 'gamma': 0.1}",0.625,0.7083333333333334,0.6666666666666666,0.5,0.7291666666666666,0.6458333333333333,0.08122328620674137,4
11,0.0013209819793701173,0.00012180073222000761,0.0005327701568603515,0.00011746374074301472,10.0,1.0,"{'C': 10.0, 'gamma': 1.0}",0.875,0.875,0.875,0.8541666666666666,0.9375,0.8833333333333332,0.02825970826302196,1
12,0.0011093616485595703,0.00032286707010856946,0.0005407333374023438,3.675143322695635e-05,100.0,0.001,"{'C': 100.0, 'gamma': 0.001}",0.5833333333333334,0.5,0.5,0.5208333333333334,0.5833333333333334,0.5375000000000001,0.03818813079129868,12
13,0.0014942169189453125,0.0008696276463312265,0.0005431652069091796,5.143598905729171e-05,100.0,0.01,"{'C': 100.0, 'gamma': 0.01}",0.5833333333333334,0.6458333333333334,0.5833333333333334,0.4791666666666667,0.5625,0.5708333333333333,0.05368374469468803,6
14,0.0018317699432373047,0.00022907199510157375,0.0005523204803466797,8.199195176833146e-05,100.0,0.1,"{'C': 100.0, 'gamma': 0.1}",0.7916666666666666,0.8125,0.8125,0.7083333333333334,0.8333333333333334,0.7916666666666667,0.04370036867375631,3
15,0.0014086246490478515,7.946178994967061e-05,0.0005129814147949219,7.55097800109707e-05,100.0,1.0,"{'C': 100.0, 'gamma': 1.0}",0.8541666666666666,0.8958333333333334,0.8541666666666666,0.875,0.9375,0.8833333333333332,0.031180478223116197,1
