,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.558159589767456,0.18443126267996204,0.0008491992950439454,0.00048176553636511925,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.7291666666666666,0.7291666666666666,0.75,0.7083333333333334,0.7916666666666666,0.7416666666666666,0.02825970826302194,6
1,0.2718671798706055,0.11223584306585459,0.0007924079895019531,0.0004307298476481063,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.8333333333333334,0.7083333333333334,0.7291666666666666,0.7291666666666666,0.7083333333333334,0.7416666666666667,0.04677071733467428,5
2,0.08503170013427734,0.01629620093271998,0.0006990432739257812,0.00029106782266175577,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.8125,0.625,0.6666666666666666,0.6875,0.75,0.7083333333333333,0.06588078458684124,18
3,0.9341511726379395,0.08992353885574496,0.0006787300109863282,0.00022852792796538478,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.8125,0.6458333333333334,0.7291666666666666,0.6458333333333334,0.7708333333333334,0.7208333333333334,0.06666666666666665,13
4,0.29382963180541993,0.0843366152670667,0.0007297039031982422,0.000403208172049266,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.6875,0.6666666666666666,0.5625,0.6666666666666666,0.6875,0.6541666666666666,0.046770717334674264,21
5,0.08372859954833985,0.01510427336421062,0.0007289886474609375,0.000233158284656889,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.5833333333333334,0.4583333333333333,0.5208333333333334,0.5208333333333334,0.6041666666666666,0.5375,0.051706973524961904,27
6,1.0306965827941894,0.4118247188790916,0.0007496356964111328,0.00035161117815443396,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.7291666666666666,0.75,0.75,0.7291666666666666,0.75,0.7416666666666666,0.010206207261596593,6
7,0.23336434364318848,0.05004036039216006,0.00066680908203125,0.00024873680977319403,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.5208333333333334,0.7708333333333334,0.7291666666666666,0.7708333333333334,0.7708333333333334,0.7125000000000001,0.09718253158075502,15
8,0.08775186538696289,0.012967417050983329,0.0004830360412597656,1.8013466413354108e-05,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.625,0.5208333333333334,0.5208333333333334,0.6458333333333334,0.5208333333333334,0.5666666666666668,0.05651941652604389,23
9,1.497083568572998,0.22550435386634868,0.0004884719848632813,2.5047979511280502e-05,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.7291666666666666,0.7291666666666666,0.75,0.7083333333333334,0.75,0.7333333333333333,0.015590239111558081,10
10,0.26136174201965334,0.07470928412088763,0.0006817817687988281,0.0002502515093224424,0.001,32,"(100,)",0.01,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.8125,0.7083333333333334,0.7708333333333334,0.7291666666666666,0.8125,0.7666666666666667,0.04249182927993987,2
11,0.07298269271850585,0.02509556187860551,0.0008824825286865235,0.0002665767334029225,0.001,32,"(100,)",0.1,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.6458333333333334,0.6666666666666666,0.7708333333333334,0.7708333333333334,0.7083333333333334,0.7125000000000001,0.05170697352496192,15
12,1.6375832080841064,0.441333543820279,0.0007227420806884766,0.0003171775327663495,0.001,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.5625,0.7708333333333334,0.6875,0.7708333333333334,0.6875,0.6958333333333334,0.07637626158259735,19
13,0.19347529411315917,0.07266826997284416,0.0006344795227050781,0.0001810199338263369,0.001,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.7916666666666666,0.6666666666666666,0.7916666666666666,0.625,0.75,0.725,0.067700320038633,11
14,0.06780428886413574,0.026240448510221316,0.0009961128234863281,0.0003370796576593929,0.001,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.5625,0.5833333333333334,0.6666666666666666,0.5208333333333334,0.5416666666666666,0.575,0.050346024889977366,22
15,1.0547425270080566,0.17228798450486324,0.0006243705749511719,0.00018349728535289487,0.001,32,"(50, 10, 5)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.7916666666666666,0.6458333333333334,0.7083333333333334,0.75,0.7916666666666666,0.7375,0.055277079839256636,8
16,0.1794741630554199,0.050052773200817004,0.0009083747863769531,0.000873857596712212,0.001,32,"(50, 10, 5)",0.01,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.7708333333333334,0.6875,0.7708333333333334,0.7708333333333334,0.6666666666666666,0.7333333333333334,0.046398036356916875,9
17,0.06785035133361816,0.023694849305086325,0.0005960464477539062,0.00022685489589360298,0.001,32,"(50, 10, 5)",0.1,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.6041666666666666,0.5208333333333334,0.5625,0.5208333333333334,0.5208333333333334,0.5458333333333334,0.033333333333333305,26
18,1.374141025543213,0.1933219310485134,0.0005742073059082031,0.00013021047729785943,0.0001,32,"(100,)",0.001,"{'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.7708333333333334,0.6875,0.7291666666666666,0.7083333333333334,0.7291666666666666,0.725,0.027638539919628335,11
19,0.30857434272766116,0.053721651007877486,0.0005118846893310547,6.64159020187654e-05,0.0001,32,"(100,)",0.01,"{'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.75,0.7083333333333334,0.7708333333333334,0.75,0.7708333333333334,0.7500000000000001,0.022821773229381923,4
20,0.07713022232055664,0.039907712290330265,0.000771188735961914,0.0002746039575414449,0.0001,32,"(100,)",0.1,"{'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.6666666666666666,0.6458333333333334,0.6458333333333334,0.7083333333333334,0.75,0.6833333333333333,0.04039733214513607,20
21,1.2271751880645752,0.17273884601742076,0.0007592678070068359,0.00020633364805394447,0.0001,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.0001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.8333333333333334,0.6041666666666666,0.7291666666666666,0.7291666666666666,0.6666666666666666,0.7124999999999999,0.07614861201040446,17
