,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,118.64615621566773,6.346470120791566,0.4787917613983154,0.01743046028889548,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.9166666666666666,0.8333333333333334,0.8958333333333334,0.8541666666666666,0.7708333333333334,0.8541666666666666,0.051031036307982856,32,0.9895833333333333,0.875,0.9166666666666666,0.875,0.8991304347826087,0.9110760869565218,0.042285479827510575,32
1,118.38726010322571,12.24968889446712,0.4782439708709717,0.03094209606936045,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.9166666666666666,0.8333333333333334,0.8958333333333334,0.8541666666666666,0.7708333333333334,0.8541666666666666,0.051031036307982856,32,0.9895833333333333,0.875,0.9166666666666666,0.875,0.8991304347826087,0.9110760869565218,0.042285479827510575,32
2,98.88789834976197,6.667928391667603,0.45414032936096194,0.014683291986260501,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.625,0.6458333333333334,0.7708333333333334,0.6875,0.6041666666666666,0.6666666666666667,0.05892556509887898,36,0.8715277777777778,0.8663194444444444,0.8628472222222222,0.8975694444444444,0.7808695652173913,0.8558266908212561,0.03941303852839796,36
3,50.819242763519284,9.562112440222487,0.7418471336364746,0.02292444856652035,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.8333333333333334,0.925,0.055277079839256664,21,1.0,0.9739583333333334,0.9947916666666666,0.953125,0.9582608695652174,0.9760271739130435,0.018821444261072885,20
4,48.559280204772946,7.703952753427562,0.6842116832733154,0.09418061423185689,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.8333333333333334,0.925,0.055277079839256664,21,1.0,0.9739583333333334,0.9947916666666666,0.953125,0.9582608695652174,0.9760271739130435,0.018821444261072885,20
5,53.04160466194153,8.693431780674258,0.5736352443695069,0.018568848893619008,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.9375,0.9166666666666666,0.9375,0.7916666666666666,0.8125,0.8791666666666667,0.06373774391990981,31,1.0,0.9479166666666667,0.9618055555555556,0.9305555555555556,0.9182608695652174,0.9517077294685989,0.02833580258461973,27
6,52.67561054229736,8.893716347781917,0.8873468399047851,0.037500260142534186,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.9791666666666666,0.8958333333333334,0.9375,0.8541666666666666,0.9375,0.9208333333333332,0.04249182927993987,24,0.998263888888889,0.9618055555555556,0.9809027777777777,0.9618055555555556,0.9478260869565217,0.9701207729468599,0.017570573735865916,22
7,52.65517344474792,8.798357034691476,0.9331265449523926,0.02887793724190713,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.9791666666666666,0.8958333333333334,0.9375,0.8541666666666666,0.9375,0.9208333333333332,0.04249182927993987,24,0.998263888888889,0.9618055555555556,0.9809027777777777,0.9618055555555556,0.9478260869565217,0.9701207729468599,0.017570573735865916,22
8,78.4186433315277,10.173609872706583,0.8800414562225342,0.04784995495977163,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",1.0,0.9166666666666666,0.9583333333333334,0.8958333333333334,0.9375,0.9416666666666668,0.035843021946010946,14,1.0,0.9878472222222222,0.970486111111111,0.9809027777777778,0.9652173913043478,0.9808907004830918,0.012389243473327856,17
9,66.49321832656861,7.457724736423031,1.291843843460083,0.0642914615610261,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.9791666666666666,0.9375,0.9791666666666666,0.875,0.9166666666666666,0.9375,0.03952847075210473,16,1.0,0.9878472222222222,0.9965277777777777,0.96875,0.9704347826086958,0.9847119565217393,0.012975280708375055,15
10,66.44519257545471,8.956484194101737,1.30055513381958,0.11094037371765046,32,0.001,1,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'half'}",0.9791666666666666,0.9375,0.9791666666666666,0.875,0.9166666666666666,0.9375,0.03952847075210473,16,1.0,0.9878472222222222,0.9965277777777777,0.96875,0.9704347826086958,0.9847119565217393,0.012975280708375055,15
