"","x"
"correlation.C2.mean",0.259926446810421
"correlation.C2.sd",0.187228098490354
"correlation.C3.mean",0.724
"correlation.C3.sd",0.052459508194416
"correlation.C4",0.784
"linearity.L1.mean",0.223314082964427
"linearity.L1.sd",0.175956360217382
"linearity.L2.mean",0.0807059777883883
"linearity.L2.sd",NA
"linearity.L3.mean",0.0650319767480586
"linearity.L3.sd",0.0893176995113286
"smoothness.S1.mean",0.0562248995983936
"smoothness.S1.sd",0.230587137957952
"smoothness.S2.mean",0.188257407747692
"smoothness.S2.sd",0.0704111105802333
"smoothness.S3.mean",0.06
"smoothness.S3.sd",0.237963245111711
"smoothness.S4.mean",0.0165060867694839
"smoothness.S4.sd",0.126112199776721
"dimensionality.T2",0.028
"dimensionality.T3",0.028
"dimensionality.T4",1
