"","x"
"correlation.C2.mean",0.15652110640197
"correlation.C2.sd",0.0499881621014943
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.471433375917936
"linearity.L1.sd",0.116291050377536
"linearity.L2.mean",0.235716687958968
"linearity.L2.sd",NA
"linearity.L3.mean",0.230931883389116
"linearity.L3.sd",0.0918747669946412
"smoothness.S1.mean",0.263598326359833
"smoothness.S1.sd",0.441045572260521
"smoothness.S2.mean",0.189969372738331
"smoothness.S2.sd",0.201364581786857
"smoothness.S3.mean",0.141666666666667
"smoothness.S3.sd",0.349436685553477
"smoothness.S4.mean",0.194026039529142
"smoothness.S4.sd",0.395038193213461
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0208333333333333
"dimensionality.T4",0.5
