"","x"
"correlation.C2.mean",0.289604993930388
"correlation.C2.sd",0.0838616373068817
"correlation.C3.mean",0.705357142857143
"correlation.C3.sd",0.0278174320132093
"correlation.C4",0.975
"linearity.L1.mean",0.238983100365266
"linearity.L1.sd",0.148347313897487
"linearity.L2.mean",0.0790281522777087
"linearity.L2.sd",NA
"linearity.L3.mean",0.0626788397022936
"linearity.L3.sd",0.0724649461329686
"smoothness.S1.mean",0.167364016736402
"smoothness.S1.sd",0.3736916481898
"smoothness.S2.mean",0.322558517995906
"smoothness.S2.sd",0.0850715627282601
"smoothness.S3.mean",0.133333333333333
"smoothness.S3.sd",0.340645052222846
"smoothness.S4.mean",0.0255862849975523
"smoothness.S4.sd",0.156870522052841
"dimensionality.T2",0.0291666666666667
"dimensionality.T3",0.0291666666666667
"dimensionality.T4",1
