"","x"
"correlation.C2.mean",0.324569893788658
"correlation.C2.sd",0.11403532565553
"correlation.C3.mean",0.699583333333333
"correlation.C3.sd",0.017285948407469
"correlation.C4",0.945833333333333
"linearity.L1.mean",0.405836740579997
"linearity.L1.sd",0.188411417603429
"linearity.L2.mean",0.200054410361749
"linearity.L2.sd",NA
"linearity.L3.mean",0.181877312443489
"linearity.L3.sd",0.130623194021085
"smoothness.S1.mean",0.238493723849372
"smoothness.S1.sd",0.426608966915079
"smoothness.S2.mean",0.161765888464005
"smoothness.S2.sd",0.103875361308198
"smoothness.S3.mean",0.220833333333333
"smoothness.S3.sd",0.415675250079424
"smoothness.S4.mean",0.196824794979341
"smoothness.S4.sd",0.398225219031617
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0125
"dimensionality.T4",0.3
