"","x"
"correlation.C2.mean",0.291370689696023
"correlation.C2.sd",0.184897286104026
"correlation.C3.mean",0.748809523809524
"correlation.C3.sd",0.0242642025678061
"correlation.C4",0.933333333333333
"linearity.L1.mean",0.28080623933885
"linearity.L1.sd",0.197274557676111
"linearity.L2.mean",0.11760723994499
"linearity.L2.sd",NA
"linearity.L3.mean",0.0952601620461484
"linearity.L3.sd",0.114848523297149
"smoothness.S1.mean",0.221757322175732
"smoothness.S1.sd",0.415863940843976
"smoothness.S2.mean",0.285018244537973
"smoothness.S2.sd",0.088793530355762
"smoothness.S3.mean",0.216666666666667
"smoothness.S3.sd",0.412834539547305
"smoothness.S4.mean",0.0578910726162555
"smoothness.S4.sd",0.232793239799933
"dimensionality.T2",0.0583333333333333
"dimensionality.T3",0.0291666666666667
"dimensionality.T4",0.5
