"","x"
"correlation.C2.mean",0.223035278161955
"correlation.C2.sd",0.031664439128071
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.409135600756923
"linearity.L1.sd",0.191910620025848
"linearity.L2.mean",0.204068168860106
"linearity.L2.sd",NA
"linearity.L3.mean",0.191180438793434
"linearity.L3.sd",0.129878713134308
"smoothness.S1.mean",0.146443514644351
"smoothness.S1.sd",0.353920699567841
"smoothness.S2.mean",0.209200067558609
"smoothness.S2.sd",0.187887128714352
"smoothness.S3.mean",0.1125
"smoothness.S3.sd",0.31664097377969
"smoothness.S4.mean",0.230928414868383
"smoothness.S4.sd",0.421539028353158
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0166666666666667
"dimensionality.T4",0.4
