"","x"
"correlation.C2.mean",0.402921650174723
"correlation.C2.sd",0.0707158199205297
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",0.9125
"linearity.L1.mean",0.117182160688337
"linearity.L1.sd",0.0915223781359387
"linearity.L2.mean",0.0220731030428298
"linearity.L2.sd",NA
"linearity.L3.mean",0.0177672033273844
"linearity.L3.sd",0.0246128653748856
"smoothness.S1.mean",0.0502092050209205
"smoothness.S1.sd",0.218605160276642
"smoothness.S2.mean",0.287946455851575
"smoothness.S2.sd",0.204605681114566
"smoothness.S3.mean",0.0166666666666667
"smoothness.S3.sd",0.128286638609585
"smoothness.S4.mean",0.186740381850497
"smoothness.S4.sd",0.389266162719289
"dimensionality.T2",0.0375
"dimensionality.T3",0.0125
"dimensionality.T4",0.333333333333333
