"","x"
"correlation.C2.mean",0.293859985195586
"correlation.C2.sd",0.0665504631773588
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.251322785603504
"linearity.L1.sd",0.146277686482769
"linearity.L2.mean",0.0844711492864113
"linearity.L2.sd",NA
"linearity.L3.mean",0.0670557557754863
"linearity.L3.sd",0.0713752664762752
"smoothness.S1.mean",0.225941422594142
"smoothness.S1.sd",0.418638920584006
"smoothness.S2.mean",0.327126370147413
"smoothness.S2.sd",0.0749213992468988
"smoothness.S3.mean",0.2
"smoothness.S3.sd",0.400835946575336
"smoothness.S4.mean",0.0218457180466023
"smoothness.S4.sd",0.14399518139641
"dimensionality.T2",0.0333333333333333
"dimensionality.T3",0.0333333333333333
"dimensionality.T4",1
