"","x"
"correlation.C2.mean",0.201720505596806
"correlation.C2.sd",0.0437448893581996
"correlation.C3.mean",0.746666666666667
"correlation.C3.sd",0.0105409255338946
"correlation.C4",0.995833333333333
"linearity.L1.mean",0.466495990975914
"linearity.L1.sd",0.125279213079484
"linearity.L2.mean",0.233247995487957
"linearity.L2.sd",NA
"linearity.L3.mean",0.221834524383845
"linearity.L3.sd",0.0943866426301568
"smoothness.S1.mean",0.326359832635983
"smoothness.S1.sd",0.469371912072207
"smoothness.S2.mean",0.192600383238271
"smoothness.S2.sd",0.106477345717756
"smoothness.S3.mean",0.275
"smoothness.S3.sd",0.447447432690054
"smoothness.S4.mean",0.264026499262479
"smoothness.S4.sd",0.441301474472241
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0125
"dimensionality.T4",0.3
