"","x"
"correlation.C2.mean",0.16622165792931
"correlation.C2.sd",0.1670275314743
"correlation.C3.mean",0.710285714285714
"correlation.C3.sd",0.037612249582833
"correlation.C4",0.808
"linearity.L1.mean",0.228588119538336
"linearity.L1.sd",0.165638345076993
"linearity.L2.mean",0.0795788455084783
"linearity.L2.sd",NA
"linearity.L3.mean",0.0655116265400862
"linearity.L3.sd",0.0880056859645354
"smoothness.S1.mean",0.0883534136546185
"smoothness.S1.sd",0.284093566497988
"smoothness.S2.mean",0.168180608536157
"smoothness.S2.sd",0.0571192638690656
"smoothness.S3.mean",0.056
"smoothness.S3.sd",0.230382953407763
"smoothness.S4.mean",0.017921157629224
"smoothness.S4.sd",0.129106944815627
"dimensionality.T2",0.056
"dimensionality.T3",0.048
"dimensionality.T4",0.857142857142857
