"","x"
"correlation.C2.mean",0.351320859091588
"correlation.C2.sd",0.171723318209663
"correlation.C3.mean",0.726666666666667
"correlation.C3.sd",0.0320860388469641
"correlation.C4",0.9125
"linearity.L1.mean",0.307963981588233
"linearity.L1.sd",0.196154428184851
"linearity.L2.mean",0.133158054653468
"linearity.L2.sd",NA
"linearity.L3.mean",0.11093626435236
"linearity.L3.sd",0.121114873661919
"smoothness.S1.mean",0.267782426778243
"smoothness.S1.sd",0.443267478374463
"smoothness.S2.mean",0.292965500071512
"smoothness.S2.sd",0.124980840245383
"smoothness.S3.mean",0.270833333333333
"smoothness.S3.sd",0.445318903799168
"smoothness.S4.mean",0.105601533083929
"smoothness.S4.sd",0.306729542895536
"dimensionality.T2",0.0208333333333333
"dimensionality.T3",0.0166666666666667
"dimensionality.T4",0.8
