"","x"
"correlation.C2.mean",0.278725722587261
"correlation.C2.sd",0.0668484498169832
"correlation.C3.mean",0.696969696969697
"correlation.C3.sd",0.020757437513364
"correlation.C4",1
"linearity.L1.mean",0.226651982409068
"linearity.L1.sd",0.145207735709868
"linearity.L2.mean",0.0723685522794894
"linearity.L2.sd",NA
"linearity.L3.mean",0.054955858530545
"linearity.L3.sd",0.0609442394478548
"smoothness.S1.mean",0.179916317991632
"smoothness.S1.sd",0.384520166157514
"smoothness.S2.mean",0.315172101921353
"smoothness.S2.sd",0.067365882337994
"smoothness.S3.mean",0.191666666666667
"smoothness.S3.sd",0.394434786191431
"smoothness.S4.mean",0.00600577495197795
"smoothness.S4.sd",0.0704408494869706
"dimensionality.T2",0.0458333333333333
"dimensionality.T3",0.0458333333333333
"dimensionality.T4",1
