"","x"
"correlation.C2.mean",0.1207394231341
"correlation.C2.sd",0.0768048576446184
"correlation.C3.mean",0.740833333333333
"correlation.C3.sd",0.0158113883008419
"correlation.C4",1
"linearity.L1.mean",0.407650510132527
"linearity.L1.sd",0.189192335098693
"linearity.L2.mean",0.201823537489489
"linearity.L2.sd",NA
"linearity.L3.mean",0.188331918430687
"linearity.L3.sd",0.12633405707314
"smoothness.S1.mean",0.430962343096234
"smoothness.S1.sd",0.49572968330978
"smoothness.S2.mean",0.338783340654077
"smoothness.S2.sd",0.0915109374508766
"smoothness.S3.mean",0.425
"smoothness.S3.sd",0.495376109173372
"smoothness.S4.mean",0.102274672657731
"smoothness.S4.sd",0.301932546315173
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0375
"dimensionality.T4",0.9
