"","x"
"correlation.C2.mean",0.148617458188451
"correlation.C2.sd",0.0714532352317169
"correlation.C3.mean",0.75
"correlation.C3.sd",0
"correlation.C4",1
"linearity.L1.mean",0.454345190455547
"linearity.L1.sd",0.144325445134106
"linearity.L2.mean",0.227172595227773
"linearity.L2.sd",NA
"linearity.L3.mean",0.218362134014768
"linearity.L3.sd",0.102655966854789
"smoothness.S1.mean",0.217573221757322
"smoothness.S1.sd",0.413027846476313
"smoothness.S2.mean",0.240926327717661
"smoothness.S2.sd",0.219282027966387
"smoothness.S3.mean",0.145833333333333
"smoothness.S3.sd",0.353676644350057
"smoothness.S4.mean",0.240982440900062
"smoothness.S4.sd",0.427394169683721
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0166666666666667
"dimensionality.T4",0.4
