"","x"
"correlation.C2.mean",0.208238582577559
"correlation.C2.sd",0.0729502112777428
"correlation.C3.mean",0.702777777777778
"correlation.C3.sd",0.0310476251338975
"correlation.C4",1
"linearity.L1.mean",0.226037422108546
"linearity.L1.sd",0.136144330109257
"linearity.L2.mean",0.0695509644867883
"linearity.L2.sd",NA
"linearity.L3.mean",0.0510566212097649
"linearity.L3.sd",0.0489828049378542
"smoothness.S1.mean",0.259414225941423
"smoothness.S1.sd",0.438772434686597
"smoothness.S2.mean",0.328951474111137
"smoothness.S2.sd",0.059160182202701
"smoothness.S3.mean",0.216666666666667
"smoothness.S3.sd",0.412834539547305
"smoothness.S4.mean",0.0126380282602751
"smoothness.S4.sd",0.111563502036333
"dimensionality.T2",0.0625
"dimensionality.T3",0.0583333333333333
"dimensionality.T4",0.933333333333333
