"","x"
"correlation.C2.mean",0.307136822447038
"correlation.C2.sd",0.170991839863655
"correlation.C3.mean",0.728
"correlation.C3.sd",0.0274226184016042
"correlation.C4",0.812
"linearity.L1.mean",0.235178545750351
"linearity.L1.sd",0.169561009766514
"linearity.L2.mean",0.0839448806701575
"linearity.L2.sd",NA
"linearity.L3.mean",0.062391765065828
"linearity.L3.sd",0.0746840314950121
"smoothness.S1.mean",0.136546184738956
"smoothness.S1.sd",0.343712889162687
"smoothness.S2.mean",0.211335329106786
"smoothness.S2.sd",0.0824489109057991
"smoothness.S3.mean",0.144
"smoothness.S3.sd",0.351794025168959
"smoothness.S4.mean",0.0482336958282814
"smoothness.S4.sd",0.214596470312677
"dimensionality.T2",0.02
"dimensionality.T3",0.02
"dimensionality.T4",1
