"","x"
"correlation.C2.mean",0.109881742315255
"correlation.C2.sd",0.104089501214541
"correlation.C3.mean",0.723333333333333
"correlation.C3.sd",0.0197593547153097
"correlation.C4",1
"linearity.L1.mean",0.378569166944292
"linearity.L1.sd",0.20501736462461
"linearity.L2.mean",0.185171600126025
"linearity.L2.sd",NA
"linearity.L3.mean",0.165764988911665
"linearity.L3.sd",0.153662795761927
"smoothness.S1.mean",0.443514644351464
"smoothness.S1.sd",0.497319640405125
"smoothness.S2.mean",0.345790178883013
"smoothness.S2.sd",0.0993683781335855
"smoothness.S3.mean",0.4375
"smoothness.S3.sd",0.497115108362583
"smoothness.S4.mean",0.0962548414504271
"smoothness.S4.sd",0.295524675088899
"dimensionality.T2",0.0416666666666667
"dimensionality.T3",0.0333333333333333
"dimensionality.T4",0.8
