,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_encoding_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,2.4957701206207275,0.007354048248113421,2.038813018798828,0.006122424491855861,0.1,1,"{'C': 0.1, 'encoding_layers': 1}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5,0.5166666666666667,0.008333333333333349,14,0.271304347826087,0.3652173913043478,0.39304347826086955,0.23130434782608697,0.4184027777777778,0.33585446859903384,0.07217261703666993,14
1,3.4255683422088623,0.3244112144387038,4.302030229568482,0.07589143777557197,0.1,3,"{'C': 0.1, 'encoding_layers': 3}",0.75,0.6041666666666666,0.5833333333333334,0.7291666666666666,0.5416666666666666,0.6416666666666666,0.08270597183866336,12,0.25391304347826094,0.6356521739130436,0.6130434782608695,0.2173913043478261,0.5277777777777778,0.4495555555555556,0.17869258538324082,13
2,4.377064657211304,0.01375193181901127,6.693902206420899,0.029017830523830758,0.1,5,"{'C': 0.1, 'encoding_layers': 5}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5,0.5166666666666667,0.008333333333333349,14,0.1565217391304348,0.3356521739130434,0.30086956521739133,0.3095652173913044,0.3368055555555556,0.2878828502415459,0.06718610079875179,15
3,8.576966762542725,0.12473412643619777,14.998358345031738,0.25401797922095437,0.1,10,"{'C': 0.1, 'encoding_layers': 10}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5,0.5166666666666667,0.008333333333333349,14,0.12173913043478263,0.31217391304347825,0.15217391304347824,0.21217391304347827,0.2743055555555556,0.2145132850241546,0.07157014405520049,16
4,1.9267323970794679,0.04742807361484165,2.018742895126343,0.012532507849202614,1.0,1,"{'C': 1.0, 'encoding_layers': 1}",0.6041666666666666,0.5416666666666666,0.5833333333333334,0.7083333333333334,0.5208333333333334,0.5916666666666667,0.06535161308899218,13,0.7373913043478262,0.662608695652174,0.6382608695652174,0.7669565217391304,0.5972222222222222,0.680487922705314,0.06285026828117528,12
5,3.087620401382446,0.058318918228616304,4.217270612716675,0.04503472093359961,1.0,3,"{'C': 1.0, 'encoding_layers': 3}",0.7708333333333334,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.5416666666666666,0.65,0.07264831572567791,11,0.8260869565217392,0.671304347826087,0.7095652173913044,0.7547826086956522,0.6510416666666666,0.7225561594202898,0.06271683254383172,11
6,4.463903999328613,0.10459498822679368,6.769821500778198,0.16774930598998583,1.0,5,"{'C': 1.0, 'encoding_layers': 5}",0.8333333333333334,0.6666666666666666,0.7291666666666666,0.6666666666666666,0.6875,0.7166666666666666,0.06263873490988714,9,0.9147826086956522,0.72,0.8295652173913043,0.8104347826086957,0.8315972222222222,0.8212759661835749,0.062117766852008476,9
7,8.67119517326355,0.182938258822557,14.945443248748779,0.32533162666339766,1.0,10,"{'C': 1.0, 'encoding_layers': 10}",0.9166666666666666,0.7291666666666666,0.75,0.7708333333333334,0.7291666666666666,0.7791666666666666,0.070464727188699,8,0.9478260869565217,0.7843478260869566,0.8713043478260869,0.8782608695652174,0.8402777777777778,0.864403381642512,0.05327276565910496,6
8,1.9855870723724365,0.0790594600682852,2.0645320892333983,0.011881069019891987,10.0,1,"{'C': 10.0, 'encoding_layers': 1}",0.75,0.6666666666666666,0.6666666666666666,0.7708333333333334,0.5833333333333334,0.6875,0.06718548123582126,10,0.7930434782608695,0.751304347826087,0.7391304347826086,0.8069565217391304,0.5989583333333334,0.7378786231884058,0.07388583267593549,10
9,3.0483185291290282,0.05324114819680754,4.259459400177002,0.06064843235253192,10.0,3,"{'C': 10.0, 'encoding_layers': 3}",0.8958333333333334,0.7083333333333334,0.7708333333333334,0.8541666666666666,0.7083333333333334,0.7875,0.07614861201040443,7,0.942608695652174,0.7878260869565217,0.8904347826086957,0.8904347826086957,0.7916666666666666,0.8605942028985508,0.060915517506230595,7
10,4.358112716674805,0.08901059636843632,6.804049968719482,0.047235289894703776,10.0,5,"{'C': 10.0, 'encoding_layers': 5}",0.9375,0.875,0.8125,0.9166666666666666,0.8333333333333334,0.875,0.04750730937913074,3,0.9808695652173913,0.9269565217391305,0.9165217391304348,0.9495652173913043,0.921875,0.9391576086956522,0.023698705926081462,1
11,8.592028951644897,0.17086384720418313,15.095512390136719,0.3223049332774736,10.0,10,"{'C': 10.0, 'encoding_layers': 10}",0.9375,0.8333333333333334,0.75,0.7708333333333334,0.7916666666666666,0.8166666666666668,0.06640573937712178,4,0.9652173913043478,0.8904347826086956,0.8765217391304349,0.8991304347826086,0.904513888888889,0.9071636473429951,0.030530549834685953,5
12,1.9711035251617433,0.02532196264178602,2.0166758060455323,0.06711656727254953,100.0,1,"{'C': 100.0, 'encoding_layers': 1}",0.8958333333333334,0.7708333333333334,0.8125,0.7916666666666666,0.6875,0.7916666666666667,0.06718548123582126,6,0.9095652173913044,0.822608695652174,0.8921739130434783,0.8313043478260869,0.734375,0.8380054347826086,0.061767722443982216,8
