,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,42.400746774673465,11.654681641471118,0.6390038013458252,0.0024431605778765155,32,0.001,1,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'single'}",0.5208333333333334,0.5416666666666666,0.4583333333333333,0.5208333333333334,0.4791666666666667,0.5041666666666667,0.03061862178478973,28,0.5130434782608695,0.4747826086956522,0.5808695652173914,0.4434782608695652,0.5173611111111112,0.5059070048309179,0.04619001487500763,31
1,56.805834197998045,23.97274492780803,0.5990850448608398,0.06296698050763196,32,0.001,1,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'half'}",0.4583333333333333,0.5625,0.5,0.4791666666666667,0.5,0.5,0.03486083443891982,31,0.5339130434782609,0.4991304347826086,0.5930434782608696,0.4121739130434783,0.5555555555555556,0.5187632850241546,0.0613962156605751,28
2,70.53313617706299,5.059597822246674,0.48644452095031737,0.002864000266943966,32,0.001,1,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 1, 'observable_type': 'full'}",0.5,0.5208333333333334,0.5208333333333334,0.5625,0.4583333333333333,0.5125000000000001,0.03385016001931652,25,0.5147826086956522,0.6017391304347826,0.6452173913043479,0.5304347826086957,0.5086805555555556,0.5601708937198067,0.05395630213553333,17
3,72.85655221939086,20.32392979906288,1.1047012329101562,0.025527934159294167,32,0.001,1,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'single'}",0.5416666666666666,0.5833333333333334,0.5208333333333334,0.5833333333333334,0.6041666666666666,0.5666666666666667,0.03061862178478972,8,0.5895652173913044,0.5791304347826086,0.5408695652173913,0.6765217391304348,0.578125,0.5928423913043479,0.04498614704857479,9
4,79.32222361564637,20.545135251025766,1.10952730178833,0.017959540835045883,32,0.001,1,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'half'}",0.5833333333333334,0.6041666666666666,0.4791666666666667,0.4791666666666667,0.5625,0.5416666666666667,0.05270462766947298,15,0.5843478260869566,0.6486956521739131,0.4678260869565218,0.5356521739130435,0.5677083333333334,0.5608460144927536,0.05933704059150887,15
5,101.20986304283142,12.81636996524127,1.1175400257110595,0.03330201803167396,32,0.001,1,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 5, 'observable_type': 'full'}",0.4583333333333333,0.5416666666666666,0.5208333333333334,0.6666666666666666,0.5,0.5375,0.07021791477646964,16,0.5339130434782609,0.5860869565217391,0.49217391304347824,0.7078260869565217,0.5277777777777777,0.5695555555555556,0.07536009163065917,13
6,110.70438666343689,14.10880435656661,2.0112721920013428,0.010224310012524659,32,0.001,1,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'single'}",0.4583333333333333,0.5,0.5416666666666666,0.4375,0.5416666666666666,0.4958333333333333,0.042491829279939865,33,0.5078260869565218,0.4991304347826087,0.5217391304347826,0.40347826086956523,0.5069444444444444,0.4878236714975845,0.04279707963679492,35
7,104.84723539352417,5.5765910427453225,2.0440585613250732,0.07418719765988163,32,0.001,1,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'half'}",0.5625,0.5833333333333334,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.5333333333333334,0.03632415786283895,18,0.6260869565217391,0.6,0.5147826086956522,0.4452173913043478,0.5190972222222222,0.5410368357487922,0.06490327387043401,20
8,112.89059128761292,14.303579731947812,2.03680682182312,0.043241183567900125,32,0.001,1,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 10, 'observable_type': 'full'}",0.6041666666666666,0.625,0.6875,0.6041666666666666,0.4791666666666667,0.5999999999999999,0.067700320038633,4,0.5947826086956521,0.6417391304347827,0.7043478260869565,0.6330434782608696,0.4565972222222222,0.6061020531400967,0.08261706586158173,5
9,140.0051969051361,15.599668386765902,3.016461133956909,0.025496241795071144,32,0.001,1,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_layers': 15, 'observable_type': 'single'}",0.6041666666666666,0.375,0.625,0.5,0.625,0.5458333333333333,0.097182531580755,13,0.56,0.3582608695652174,0.6260869565217392,0.48000000000000004,0.6493055555555556,0.5347306763285025,0.10606502838344065,23
