,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma_factor,param_max_vmap,param_t,param_trotter_steps,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,1.8452908039093017,0.0070005434509698965,2.465139865875244,0.012751438013165379,0.1,0.1,1,0.01,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 1}",0.5625,0.75,0.7916666666666666,0.6041666666666666,0.75,0.6916666666666667,0.0907147544044885,33,0.3211805555555555,0.1736111111111111,0.09027777777777778,0.2673611111111111,0.1909722222222222,0.20868055555555554,0.07957678856160116,104
1,2.3905306339263914,0.013670361709483813,3.68424596786499,0.018082302826812703,0.1,0.1,1,0.01,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 3}",0.5833333333333334,0.75,0.7916666666666666,0.5833333333333334,0.7291666666666666,0.6875,0.08740073734751261,45,0.3211805555555556,0.1736111111111111,0.0920138888888889,0.2690972222222222,0.19270833333333331,0.20972222222222223,0.07924277530646946,99
2,2.7750287532806395,0.013564666813585206,4.91498908996582,0.03026515735856568,0.1,0.1,1,0.01,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 5}",0.5833333333333334,0.75,0.7916666666666666,0.5833333333333334,0.6666666666666666,0.675,0.08498365855987973,65,0.3211805555555556,0.1736111111111111,0.09548611111111112,0.2673611111111111,0.19270833333333331,0.21006944444444442,0.07795892842776214,97
3,1.547666645050049,0.01790598876856044,2.4837554931640624,0.017967295271055308,0.1,0.1,1,0.1,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 1}",0.5416666666666666,0.75,0.7916666666666666,0.6041666666666666,0.7708333333333334,0.6916666666666667,0.09982623792259118,33,0.2977430555555555,0.17100694444444442,0.08159722222222222,0.265625,0.1909722222222222,0.2013888888888889,0.07588414366671645,108
4,2.0984188079833985,0.028123354929014865,3.6534391403198243,0.025505934122312855,0.1,0.1,1,0.1,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 3}",0.5833333333333334,0.7291666666666666,0.7916666666666666,0.625,0.7083333333333334,0.6875,0.07453559924999296,45,0.3029513888888889,0.1736111111111111,0.08506944444444443,0.2777777777777778,0.1918402777777778,0.20625,0.07800646872412982,107
5,2.7934642791748048,0.03773897635555748,4.85471363067627,0.032462933835894776,0.1,0.1,1,0.1,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 0.1, 'trotter_steps': 5}",0.5833333333333334,0.6875,0.7916666666666666,0.625,0.6875,0.675,0.07046472718869899,65,0.3029513888888889,0.17881944444444442,0.09027777777777779,0.2777777777777778,0.1935763888888889,0.2086805555555556,0.07589526431756684,103
6,1.5294156551361084,0.008887892792608236,2.452654790878296,0.022549987879252296,0.1,0.1,1,1.0,1,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 1}",0.5833333333333334,0.6458333333333334,0.6666666666666666,0.5208333333333334,0.5625,0.5958333333333334,0.05368374469468801,74,0.44357638888888884,0.28298611111111116,0.32986111111111116,0.40625,0.4201388888888889,0.3765625,0.06034678269882133,86
7,2.093025541305542,0.010150911577076488,3.712656545639038,0.024844013953800283,0.1,0.1,1,1.0,3,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 3}",0.5,0.6041666666666666,0.6041666666666666,0.5,0.6458333333333334,0.5708333333333333,0.05980291706003051,83,0.5972222222222222,0.4097222222222222,0.3055555555555556,0.47395833333333337,0.3550347222222222,0.42829861111111117,0.10138888888888889,79
8,2.7935304164886476,0.02278667750272692,4.8148801803588865,0.03692154932782581,0.1,0.1,1,1.0,5,"{'C': 0.1, 'gamma_factor': 0.1, 'max_vmap': 1, 't': 1.0, 'trotter_steps': 5}",0.4166666666666667,0.625,0.5625,0.5416666666666666,0.6041666666666666,0.55,0.07288689868556625,95,0.5581597222222222,0.3654513888888889,0.35763888888888884,0.4618055555555556,0.3993055555555556,0.42847222222222225,0.07452468014952422,78
9,1.5706306934356689,0.06611813876807804,2.5081170558929444,0.04174216788831975,0.1,1.0,1,0.01,1,"{'C': 0.1, 'gamma_factor': 1.0, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 1}",0.5625,0.75,0.7916666666666666,0.6041666666666666,0.75,0.6916666666666667,0.0907147544044885,33,0.3211805555555555,0.1736111111111111,0.09027777777777778,0.2673611111111111,0.1909722222222222,0.20868055555555554,0.07957678856160116,104
10,2.104254198074341,0.015668397827429528,3.7986732959747314,0.02287414024967453,0.1,1.0,1,0.01,3,"{'C': 0.1, 'gamma_factor': 1.0, 'max_vmap': 1, 't': 0.01, 'trotter_steps': 3}",0.5833333333333334,0.75,0.7916666666666666,0.5833333333333334,0.7083333333333334,0.6833333333333333,0.08579691784155831,51,0.3211805555555556,0.1736111111111111,0.0920138888888889,0.2673611111111111,0.1909722222222222,0.20902777777777776,0.0790615164263223,102
