,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,46.46222295761108,5.396343476697423,2.6336951732635496,0.0745317653229508,32,0.001,4,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'single'}",0.6300302899177845,0.6118563392470792,0.5614718614718615,0.5727272727272728,0.5597402597402598,0.5871652046208515,0.028522962776972208,36
1,45.35056738853454,4.995866072955078,3.4197702407836914,1.9488840285883793,32,0.001,4,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'half'}",0.7611423626135871,0.7425356988316746,0.7155844155844155,0.6883116883116883,0.7168831168831169,0.7248914564448965,0.024957088917777606,33
2,57.77809062004089,14.446985052193112,2.3465166091918945,0.13668192759749587,32,0.001,4,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'full'}",0.6257031588057118,0.6559930765902207,0.638095238095238,0.5567099567099567,0.5567099567099567,0.6066422773822168,0.04189171902932353,35
3,62.67195038795471,3.3363545378397914,5.489707136154175,0.3510462979643853,32,0.001,4,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'single'}",0.8113370835136304,0.8039809606231069,0.8272727272727273,0.8151515151515152,0.8329004329004329,0.8181285438922826,0.01055429335503549,21
4,72.22694625854493,6.54866166229102,6.385429525375367,2.424254920894137,32,0.001,4,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'half'}",0.7901341410644742,0.7516226741670272,0.793073593073593,0.7865800865800866,0.8073593073593074,0.7857539604488977,0.018467166576085024,24
5,102.67135200500488,5.923336899748701,5.028052473068238,0.2288831477526285,32,0.001,4,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'full'}",0.7524881003894418,0.8450887061877975,0.8415584415584415,0.8082251082251082,0.8406926406926407,0.8176105994106859,0.03518622869503502,22
6,97.39249653816223,11.227377565738701,12.564960050582886,3.3260365643974867,32,0.001,4,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'single'}",0.8048463868455215,0.7754218952834271,0.787012987012987,0.7363636363636363,0.7766233766233767,0.7760536564257897,0.022472870967998285,27
7,109.90839586257934,6.4090349165764,13.106773948669433,1.2617465280664824,32,0.001,4,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'half'}",0.8407615750757248,0.8035482475118996,0.8562770562770563,0.8264069264069264,0.8584415584415584,0.837087072742633,0.020379842092237786,19
8,130.12653317451478,12.926386950335278,12.012644863128662,2.5139771426705257,32,0.001,4,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'full'}",0.8485504110774557,0.8541756815231502,0.8502164502164502,0.8225108225108225,0.8545454545454545,0.8459997639746666,0.011965709922004304,18
9,145.40563650131224,13.062169568258799,19.08159852027893,2.551904115622958,32,0.001,4,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'single'}",0.7762873215058417,0.7987884032886197,0.7822510822510822,0.7662337662337663,0.7675324675324675,0.7782186081623556,0.011840077910025549,25
10,148.74759197235107,16.811512247968775,20.325120830535887,3.224968685665921,32,0.001,4,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'half'}",0.7122457810471657,0.7092167892687148,0.7285714285714285,0.7363636363636363,0.6974025974025974,0.7167600465307086,0.013969965209501795,34
11,167.9047493457794,28.32798358475915,17.23879203796387,2.8006644623853743,32,0.001,4,15,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'full'}",0.8424924275205539,0.7646040675032454,0.7398268398268398,0.7350649350649351,0.8012987012987013,0.7766573942428552,0.040430559493150706,26
12,25.550693321228028,4.433629823854343,2.7854509353637695,0.3525935281541365,32,0.01,4,1,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'single'}",0.762440501947209,0.7693639117265253,0.7493506493506493,0.745021645021645,0.7588744588744589,0.7570102333840975,0.008808768363674745,28
13,25.163464403152467,2.7228868759119225,2.9535462856292725,0.4730822345633131,32,0.01,4,1,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'half'}",0.7940285590653396,0.7845088706187797,0.7922077922077922,0.7584415584415585,0.8047619047619048,0.7867897370190748,0.015579321296004183,23
14,23.890378379821776,3.464323454005798,3.4538315296173097,1.7461562014847085,32,0.01,4,1,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'full'}",0.7788836001730852,0.723929035049762,0.7675324675324675,0.7125541125541126,0.7502164502164502,0.7466231331051756,0.02516573137165568,30
