,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,22.281957054138182,10.98246308601119,1.1898179531097413,0.3601787530321723,32,0.001,4,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1}",0.7524881003894418,0.6871484205971441,0.5324675324675324,0.71991341991342,0.729004329004329,0.6842043604743735,0.07871159470710679,12
1,36.896169090270995,14.474630304352939,2.605999565124512,0.7695323409530701,32,0.001,4,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5}",0.9199480744266552,0.8983124188662917,0.9073593073593074,0.8965367965367965,0.8987012987012987,0.9041715791780698,0.008736166748857762,9
2,53.60849852561951,14.167061128957101,4.819940614700317,1.4323110818874136,32,0.001,4,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10}",0.9337948939852877,0.9368238857637387,0.9393939393939394,0.925974025974026,0.9346320346320346,0.9341237559498052,0.004513316533006479,4
3,68.02147707939147,21.00932415406149,8.166700458526611,1.6733651797389346,32,0.001,4,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15}",0.9286023366508005,0.9099956728688879,0.9311688311688312,0.9125541125541126,0.9277056277056277,0.922005316189652,0.00887176442394663,7
4,10.17431674003601,2.818979407671885,1.0176208019256592,0.2993614962637817,32,0.01,4,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1}",0.7524881003894418,0.7620077888360017,0.7441558441558441,0.729004329004329,0.7515151515151515,0.7478342427801536,0.01099266261471235,11
5,15.248829412460328,4.5995321456777445,1.9945908069610596,0.616692628111228,32,0.01,4,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 5}",0.9441800086542622,0.9212462137602769,0.9316017316017317,0.9281385281385282,0.935930735930736,0.9322194436171071,0.007671714533444155,6
6,32.18669347763061,7.6203900531143915,4.205950307846069,1.1705263959899603,32,0.01,4,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 10}",0.9394201644309823,0.9424491562094331,0.9467532467532468,0.9277056277056277,0.9380952380952381,0.9388846866389058,0.006332471961166894,2
7,53.08039331436157,9.01310819014702,7.974479389190674,2.4939872527941747,32,0.01,4,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 15}",0.9528342708784077,0.9493725659887494,0.9471861471861471,0.929004329004329,0.9385281385281385,0.9433850903171542,0.008602106580782455,1
8,6.91944637298584,2.2824426749803184,0.9299020290374755,0.19470487068302006,32,0.1,4,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 1}",0.818693206404154,0.7922977066205106,0.780952380952381,0.7727272727272727,0.7757575757575758,0.7880856284923788,0.016693164015784502,10
9,14.837389421463012,5.650447572692962,2.3833269119262694,0.7928536272637815,32,0.1,4,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 5}",0.9329294677628732,0.9394201644309823,0.919047619047619,0.8735930735930736,0.912987012987013,0.9155954675643123,0.023026099227325094,8
10,28.65864133834839,7.873702407814692,4.400326919555664,1.2458237366119815,32,0.1,4,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 10}",0.9394201644309823,0.9376893119861531,0.9147186147186147,0.9363636363636364,0.9424242424242424,0.9341231939847259,0.009912010666376692,5
11,39.09877495765686,6.9570739721383195,4.523596382141113,1.0020737226021768,32,0.1,4,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 15}",0.9420164430982259,0.9446127217654695,0.9303030303030303,0.929004329004329,0.9363636363636364,0.9364600321069382,0.006178114985646238,3
