,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,49.302071762084964,6.060192101633439,0.5310204982757568,0.008573923711457602,32,0.001,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1}",0.75,0.7083333333333334,0.6458333333333334,0.7083333333333334,0.75,0.7125000000000001,0.03818813079129865,2,0.7899305555555556,0.7812500000000001,0.7864583333333334,0.7725694444444444,0.7447916666666666,0.7750000000000001,0.016197088596792534,2
1,20.151977634429933,0.6115886922465288,0.5551279067993165,0.014120452923001896,32,0.01,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1}",0.7708333333333334,0.7083333333333334,0.7291666666666666,0.75,0.75,0.7416666666666667,0.02124591463996994,1,0.7881944444444444,0.8142361111111112,0.7690972222222223,0.751736111111111,0.7465277777777778,0.7739583333333333,0.024879144607878982,3
2,18.010834074020387,1.5395309062824964,0.5495368957519531,0.01479599355410204,32,0.1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 1}",0.7708333333333334,0.7291666666666666,0.6666666666666666,0.625,0.6458333333333334,0.6875,0.05432668671002208,3,0.7517361111111112,0.829861111111111,0.7812499999999999,0.78125,0.7413194444444444,0.7770833333333333,0.03079530312311348,1
