,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,98.76794767379761,4.504104014583948,5.005842399597168,0.08455660848964804,32,0.001,4,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1}",0.945478147987884,0.9446127217654695,0.9532467532467532,0.9329004329004329,0.9467532467532468,0.9445982605307572,0.006588686882999579,5
1,148.29841794967652,21.447750240677834,10.659511947631836,2.9877430542418475,32,0.001,4,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5}",0.9355257464301169,0.9333621808740805,0.9406926406926407,0.9277056277056277,0.9376623376623376,0.9349897066729607,0.004374023275836949,8
2,291.95759410858153,32.099526695645984,19.939213609695436,4.270182255648072,32,0.001,4,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10}",0.9476417135439203,0.9359584595413241,0.951948051948052,0.9333333333333333,0.9428571428571428,0.9423477402447545,0.006964683323542654,6
3,345.22404155731203,37.04114807467301,38.10686573982239,5.862075732716567,32,0.001,4,15,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15}",0.9368238857637387,0.9329294677628732,0.9437229437229437,0.9298701298701298,0.9376623376623376,0.9362017529564046,0.00468798397510684,7
4,76.44628434181213,14.519292500815997,5.093970155715942,0.628052489394839,32,0.01,4,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1}",0.9684119428818693,0.9562959757680658,0.9645021645021645,0.964935064935065,0.9588744588744589,0.9626039213923248,0.004392487664517652,2
5,164.05255403518677,18.35295940703118,11.294532251358032,2.828350066448899,32,0.01,4,5,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 5}",0.9710082215491129,0.9580268282128949,0.9683982683982684,0.951948051948052,0.9606060606060606,0.9619974861428778,0.006940557370985127,3
6,245.3096927165985,38.15827364089555,22.03752589225769,2.904088272457074,32,0.01,4,10,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 10}",0.9697100822154912,0.9610558199913457,0.9675324675324676,0.9593073593073593,0.9627705627705627,0.9640752583634453,0.003930792163520649,1
7,353.12065291404724,29.07404627247662,35.2887743473053,3.5315577157265943,32,0.01,4,15,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 15}",0.9575941151016876,0.9588922544353093,0.9606060606060606,0.9554112554112554,0.9597402597402598,0.9584487890589145,0.0018152386522319733,4
8,34.550928354263306,5.511275309981855,7.859758901596069,2.9216738512305174,32,0.1,4,1,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 1}",0.9398528775421895,0.9086975335352662,0.9393939393939394,0.9212121212121213,0.9324675324675324,0.9283248008302097,0.011902978110170121,9
9,85.92568645477294,9.114339442097386,10.328182983398438,1.561688259783008,32,0.1,4,5,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 5}",0.9350930333189096,0.9255733448723497,0.9285714285714286,0.9168831168831169,0.9307359307359307,0.927371370876347,0.0060929605568177956,10
10,163.5512689113617,7.47825574075604,19.939155483245848,3.201304916363621,32,0.1,4,10,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 10}",0.9303331890956296,0.9286023366508005,0.9268398268398268,0.9194805194805195,0.9255411255411256,0.9261593995215804,0.003710556397064175,11
11,203.3694434642792,14.573546255575273,35.439468431472775,6.199526743739668,32,0.1,4,15,"{'batch_size': 32, 'learning_rate': 0.1, 'max_vmap': 4, 'n_layers': 15}",0.9073993942016443,0.8818693206404155,0.932034632034632,0.9108225108225109,0.9164502164502164,0.9097152148298837,0.016281889226954144,12
