,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,1.7474807739257812,0.36739168456682486,0.004625129699707031,0.0005096617792848454,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.875,0.7291666666666666,0.8541666666666666,0.8958333333333334,0.7291666666666666,0.8166666666666667,0.07264831572567791,6,0.9427083333333333,0.8472222222222223,0.9479166666666666,0.9479166666666666,0.842013888888889,0.9055555555555556,0.04981882685550969,4
1,0.282545804977417,0.11229210577236023,0.003680419921875,5.29348095208321e-05,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.7916666666666666,0.7291666666666666,0.8541666666666666,0.9166666666666666,0.6875,0.7958333333333333,0.08270597183866335,13,0.9392361111111112,0.8385416666666666,0.9305555555555556,0.9496527777777778,0.796875,0.8909722222222222,0.06155144390600096,10
2,0.09801859855651855,0.026110520893122643,0.0037320137023925783,8.878733494575191e-05,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.75,0.6875,0.875,0.8958333333333334,0.7083333333333334,0.7833333333333334,0.08599903100229289,20,0.8020833333333334,0.8437499999999999,0.9600694444444444,0.935763888888889,0.7586805555555556,0.8600694444444444,0.07699099825127867,20
3,2.023960018157959,0.6203584193399823,0.004607868194580078,0.0005011098778902729,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.7708333333333334,0.7708333333333334,0.8541666666666666,0.8333333333333334,0.7291666666666666,0.7916666666666667,0.04564354645876384,15,0.8489583333333334,0.8663194444444444,0.9583333333333333,0.9461805555555556,0.8177083333333334,0.8874999999999998,0.0552552648181461,13
4,0.2644850730895996,0.05959225592214892,0.0034853935241699217,0.0003086682761965448,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.875,0.7291666666666666,0.8958333333333334,0.9166666666666666,0.75,0.8333333333333333,0.07795119555779045,1,0.9409722222222223,0.8472222222222222,0.9600694444444444,0.9461805555555556,0.8819444444444444,0.9152777777777779,0.04327620432883541,1
5,0.12972412109375,0.04474894592125056,0.00291295051574707,0.00010516571906465782,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.6875,0.75,0.7291666666666666,0.8333333333333334,0.6458333333333334,0.7291666666666667,0.06319062870042959,23,0.8333333333333334,0.7543402777777778,0.8706597222222221,0.8680555555555555,0.7083333333333334,0.8069444444444442,0.06477951461007775,24
6,1.4464507579803467,0.33066333796871594,0.0035484790802001952,0.0005591068204739143,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.8541666666666666,0.7083333333333334,0.9375,0.875,0.6875,0.8125,0.09771699499632143,8,0.9461805555555555,0.842013888888889,0.9722222222222222,0.9461805555555556,0.8107638888888888,0.9034722222222221,0.06441510347391793,6
7,0.2492910385131836,0.03622025858949504,0.0028662681579589844,9.698251218898885e-05,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.8125,0.7291666666666666,0.8125,0.8541666666666666,0.7291666666666666,0.7874999999999999,0.05000000000000001,17,0.9149305555555556,0.829861111111111,0.9331597222222223,0.9288194444444445,0.8055555555555556,0.8824652777777778,0.05376789646075825,17
8,0.0994905948638916,0.03405948416750553,0.0027749061584472655,8.313412097981817e-05,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.6458333333333334,0.6875,0.7916666666666666,0.8333333333333334,0.6041666666666666,0.7125,0.08680277773333192,25,0.8038194444444444,0.796875,0.8723958333333334,0.875,0.7387152777777778,0.8173611111111111,0.0512626311218712,23
9,2.305079936981201,0.416416642828248,0.003997421264648438,3.273639029458758e-05,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.8541666666666666,0.7291666666666666,0.875,0.9166666666666666,0.7916666666666666,0.8333333333333333,0.06588078458684124,1,0.9635416666666667,0.8368055555555555,0.9513888888888888,0.9427083333333334,0.857638888888889,0.9104166666666668,0.052436303952721766,3
