,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,72.60622825622559,8.894438549812497,3.5559457302093507,0.043675973271654824,32,0.001,4,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'single'}",0.8321073128515794,0.8407615750757248,0.8337662337662337,0.8095238095238095,0.8554112554112554,0.8343140373257206,0.014875405675823102,34
1,76.34990692138672,7.494416098775247,4.737812423706055,1.9744870505532326,32,0.001,4,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'half'}",0.8065772392903505,0.7879705755084379,0.7887445887445887,0.7233766233766233,0.783982683982684,0.7781303421805369,0.02846379456317635,35
2,81.113006067276,12.066210119247955,3.7450278759002686,0.25775766647084963,32,0.001,4,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'full'}",0.5356988316745998,0.5612289052358287,0.5181818181818182,0.564935064935065,0.5216450216450217,0.5403379283344667,0.019510465090601566,36
3,90.75040893554687,9.49063117317638,11.809572839736939,3.1745289353336545,32,0.001,4,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'single'}",0.8589355257464301,0.9026395499783644,0.8861471861471861,0.8541125541125542,0.9077922077922078,0.8819254047553485,0.02199127075687727,11
4,85.83737154006958,8.548079505505912,10.174265050888062,1.0219713884343042,32,0.001,4,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'half'}",0.8550411077455647,0.8745131977498918,0.870995670995671,0.8389610389610389,0.8844155844155844,0.86478531997355,0.016002440499316116,16
5,111.0917661190033,11.70879650159958,10.674143266677856,3.0632417152958675,32,0.001,4,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'full'}",0.8550411077455647,0.8636953699697101,0.861038961038961,0.8367965367965368,0.8922077922077922,0.861755953551713,0.017886595711876195,21
6,140.92220463752747,11.194821553868278,22.400553703308105,3.1981509627728744,32,0.001,4,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'single'}",0.8805711813067936,0.9035049762007789,0.9,0.8666666666666667,0.8961038961038961,0.889369344055627,0.01379130422856155,8
7,157.95108699798584,6.410847620180695,23.756805896759033,3.2797428505482817,32,0.001,4,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'half'}",0.8918217221981826,0.8805711813067936,0.8952380952380953,0.8666666666666667,0.8956709956709956,0.8859937322161467,0.011099663634590539,10
8,157.11928973197936,14.10070896946909,26.10212469100952,2.137124935157573,32,0.001,4,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'full'}",0.8130679359584595,0.8450887061877975,0.8523809523809524,0.8203463203463204,0.8562770562770563,0.8374321942301173,0.017451421367209487,33
9,237.27311787605285,11.556704256756309,42.782823181152345,2.9482687664254765,32,0.001,4,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'single'}",0.8494158372998701,0.8671570748593682,0.8826839826839827,0.8606060606060606,0.8645021645021645,0.8648730239902893,0.010767694940197237,15
