,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9602304458618164,0.05026931407472822,0.0004605770111083984,2.093657246223652e-05,0.01,32,"(100,)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.7708333333333334,0.7083333333333334,0.75,0.6666666666666666,0.5416666666666666,0.6875,0.0812232862067414,6
1,0.1526556968688965,0.016628697414297906,0.0005722999572753906,0.00016900871370084525,0.01,32,"(100,)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.7708333333333334,0.6666666666666666,0.7083333333333334,0.6875,0.5416666666666666,0.675,0.07523112535528248,7
2,0.049866533279418944,0.011062323552453079,0.0004544258117675781,2.0687809678329788e-05,0.01,32,"(100,)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.75,0.6875,0.7083333333333334,0.6875,0.6458333333333334,0.6958333333333334,0.03385016001931649,4
3,0.8795454978942872,0.14080131179631117,0.00045337677001953123,1.5973404259436284e-05,0.01,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.7291666666666666,0.75,0.7083333333333334,0.625,0.3958333333333333,0.6416666666666667,0.13003738778606028,17
4,0.1210627555847168,0.02007695591642605,0.0004442691802978516,2.221140036174458e-05,0.01,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.7083333333333334,0.7916666666666666,0.7291666666666666,0.6666666666666666,0.6666666666666666,0.7124999999999999,0.04639803635691685,1
5,0.057787322998046876,0.015034142801896366,0.00041103363037109375,2.1462439961021298e-05,0.01,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.6666666666666666,0.7708333333333334,0.6458333333333334,0.6666666666666666,0.5625,0.6625,0.06640573937712178,11
6,0.5886337757110596,0.049991102058019876,0.0004625797271728516,1.4315760148312166e-05,0.01,32,"(50, 10, 5)",0.001,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.001}",0.6041666666666666,0.7291666666666666,0.6666666666666666,0.6458333333333334,0.5416666666666666,0.6375,0.06263873490988713,21
7,0.1578667640686035,0.06407964179460038,0.0004528999328613281,1.3278523651340487e-05,0.01,32,"(50, 10, 5)",0.01,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.01}",0.75,0.7708333333333334,0.6875,0.6875,0.6041666666666666,0.7,0.05833333333333336,3
8,0.04931864738464355,0.014556111984482284,0.000492095947265625,0.00013117026671162905,0.01,32,"(50, 10, 5)",0.1,"{'alpha': 0.01, 'batch_size': 32, 'hidden_layer_sizes': (50, 10, 5), 'learning_rate_init': 0.1}",0.7291666666666666,0.5833333333333334,0.75,0.5416666666666666,0.5208333333333334,0.625,0.09592387027684447,24
9,1.0412045001983643,0.07578702640742949,0.0004694938659667969,1.6064105303674455e-05,0.001,32,"(100,)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.7916666666666666,0.7083333333333334,0.5833333333333334,0.6875,0.5416666666666666,0.6625,0.08975274678557507,11
10,0.1998520851135254,0.013614144448804924,0.0004506111145019531,1.2115793200040625e-05,0.001,32,"(100,)",0.01,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.7083333333333334,0.6875,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.675,0.021245914639969943,7
11,0.03500185012817383,0.005298373826320009,0.0004397392272949219,9.233229759384983e-05,0.001,32,"(100,)",0.1,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1}",0.7708333333333334,0.7291666666666666,0.6041666666666666,0.6458333333333334,0.5833333333333334,0.6666666666666667,0.07216878364870323,10
12,0.9503707408905029,0.10408672319905657,0.00046091079711914064,1.5831711764306864e-05,0.001,32,"(10, 10, 10, 10)",0.001,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.001}",0.6666666666666666,0.6666666666666666,0.5416666666666666,0.6875,0.6458333333333334,0.6416666666666667,0.05170697352496191,17
13,0.11292262077331543,0.01883173711421765,0.0004109382629394531,2.7359651301637432e-05,0.001,32,"(10, 10, 10, 10)",0.01,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.01}",0.6875,0.6875,0.625,0.6666666666666666,0.5208333333333334,0.6375,0.0626387349098871,21
14,0.04681262969970703,0.013142059170782547,0.00042862892150878905,3.3254187186957026e-05,0.001,32,"(10, 10, 10, 10)",0.1,"{'alpha': 0.001, 'batch_size': 32, 'hidden_layer_sizes': (10, 10, 10, 10), 'learning_rate_init': 0.1}",0.7083333333333334,0.5208333333333334,0.5833333333333334,0.6875,0.625,0.625,0.06846531968814576,24
