,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,15.139258289337159,0.11972674828999258,11.048527050018311,0.24599035522149862,0.1,1,"{'C': 0.1, 'repeats': 1}",0.5,0.5,0.5,0.5,0.8541666666666666,0.5708333333333333,0.14166666666666664,7,0.12152777777777779,0.05902777777777778,0.048611111111111105,0.031249999999999993,0.05391304347826087,0.06286594202898552,0.030785921670706762,12
1,24.77415337562561,0.06852111709361186,18.929286909103393,0.1380738594419056,0.1,5,"{'C': 0.1, 'repeats': 5}",0.5,0.5,0.5,0.5,0.6041666666666666,0.5208333333333333,0.04166666666666665,11,0.18923611111111108,0.3489583333333333,0.3194444444444445,0.22916666666666669,0.29739130434782607,0.2768393719806763,0.0589673415666509,11
2,37.900658750534056,0.2919644462692364,29.637862300872804,0.12454139174741767,0.1,10,"{'C': 0.1, 'repeats': 10}",0.5,0.5,0.5,0.5,0.5833333333333334,0.5166666666666667,0.03333333333333335,12,0.48611111111111116,0.38888888888888884,0.3246527777777778,0.4288194444444444,0.3878260869565217,0.4032596618357488,0.05318161656809226,10
3,15.195965147018432,0.1327226784008141,11.013095903396607,0.22058254136412678,1.0,1,"{'C': 1.0, 'repeats': 1}",0.7708333333333334,0.875,0.875,0.9375,0.8541666666666666,0.8625,0.053683744694688014,3,0.892361111111111,0.9479166666666666,0.9479166666666666,0.9739583333333333,0.9443478260869566,0.9413001207729469,0.026677448832784147,3
4,25.0886501789093,0.2870609528425955,19.0826247215271,0.40087502592799074,1.0,5,"{'C': 1.0, 'repeats': 5}",0.7291666666666666,0.625,0.625,0.7291666666666666,0.7708333333333334,0.6958333333333333,0.05980291706003051,4,0.8125,0.6440972222222223,0.7048611111111112,0.7743055555555556,0.7182608695652174,0.7308049516908214,0.05816364958431449,6
5,37.02826142311096,0.23908229762888333,29.452769899368285,0.28784583150652754,1.0,10,"{'C': 1.0, 'repeats': 10}",0.4791666666666667,0.5625,0.5833333333333334,0.5625,0.5416666666666666,0.5458333333333333,0.035843021946010946,8,0.5034722222222222,0.6128472222222222,0.3472222222222222,0.5729166666666667,0.5991304347826087,0.5271177536231884,0.09752376309728335,9
6,14.23865828514099,0.19604437581038978,11.343506097793579,0.36503930438424975,10.0,1,"{'C': 10.0, 'repeats': 1}",0.75,0.8541666666666666,0.8958333333333334,0.9583333333333334,0.8958333333333334,0.8708333333333333,0.06897060565519522,1,0.8914930555555556,0.9427083333333334,0.9479166666666666,0.984375,0.9408695652173913,0.9414725241545894,0.029604011456659123,1
7,23.933913040161134,0.2709527627424314,19.43303165435791,0.6346248419881243,10.0,5,"{'C': 10.0, 'repeats': 5}",0.75,0.6041666666666666,0.625,0.75,0.75,0.6958333333333333,0.06666666666666668,4,0.8090277777777778,0.6302083333333334,0.7309027777777778,0.78125,0.7286956521739131,0.7360169082125604,0.061076721106130966,4
8,37.561750984191896,0.6985688415853523,28.152541065216063,0.18883094248836846,10.0,10,"{'C': 10.0, 'repeats': 10}",0.4791666666666667,0.5416666666666666,0.5625,0.5833333333333334,0.5625,0.5458333333333333,0.035843021946010946,8,0.5138888888888888,0.6137152777777778,0.6666666666666667,0.5833333333333334,0.591304347826087,0.5937817028985507,0.04941200824911731,7
9,14.325544023513794,0.21116069676810945,10.965873098373413,0.546809744787941,100.0,1,"{'C': 100.0, 'repeats': 1}",0.75,0.8541666666666666,0.8958333333333334,0.9583333333333334,0.8958333333333334,0.8708333333333333,0.06897060565519522,1,0.8914930555555556,0.9427083333333334,0.9479166666666666,0.984375,0.9408695652173913,0.9414725241545894,0.029604011456659123,1
10,24.35923342704773,0.45861611943088454,18.120693302154542,0.07636566679974358,100.0,5,"{'C': 100.0, 'repeats': 5}",0.75,0.6041666666666666,0.625,0.75,0.75,0.6958333333333333,0.06666666666666668,4,0.8090277777777778,0.6302083333333334,0.7309027777777778,0.78125,0.7286956521739131,0.7360169082125604,0.061076721106130966,4
11,35.83855056762695,0.18662002502800526,27.976490688323974,0.3871659513473014,100.0,10,"{'C': 100.0, 'repeats': 10}",0.4791666666666667,0.5416666666666666,0.5625,0.5833333333333334,0.5625,0.5458333333333333,0.035843021946010946,8,0.5138888888888888,0.6137152777777778,0.6666666666666667,0.5833333333333334,0.591304347826087,0.5937817028985507,0.04941200824911731,7
