,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_encoding_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,2.466039037704468,0.050798831180779026,1.5346227169036866,0.016214462979785377,0.1,1,"{'C': 0.1, 'encoding_layers': 1}",0.8125,0.8958333333333334,0.7708333333333334,0.8541666666666666,0.8958333333333334,0.8458333333333334,0.04859126579037751,8,0.890625,0.9600694444444445,0.8932291666666667,0.9392361111111112,0.9408695652173914,0.9248058574879229,0.027839590199995344,8
1,3.1414090633392333,0.03697014157527151,2.926061487197876,0.036504941115165813,0.1,3,"{'C': 0.1, 'encoding_layers': 3}",0.8541666666666666,0.875,0.7708333333333334,0.8958333333333334,0.9166666666666666,0.8625,0.050346024889977366,5,0.8993055555555556,0.9600694444444444,0.9305555555555555,0.9652777777777777,0.9460869565217391,0.9402590579710145,0.023764256663036346,6
2,3.8601029396057127,0.06482074303021473,4.349007654190063,0.06744710000226559,0.1,5,"{'C': 0.1, 'encoding_layers': 5}",0.5,0.5,0.5,0.5,0.7708333333333334,0.5541666666666667,0.10833333333333335,15,0.8559027777777778,0.9270833333333334,0.767361111111111,0.27604166666666663,0.8660869565217392,0.7384951690821256,0.23678099205926692,12
3,5.59101505279541,0.25215129339269865,8.573102283477784,0.1422994595852008,0.1,10,"{'C': 0.1, 'encoding_layers': 10}",0.5,0.5,0.5,0.5,0.6666666666666666,0.5333333333333333,0.06666666666666665,16,0.3159722222222222,0.2673611111111111,0.3420138888888889,0.3168402777777778,0.2252173913043478,0.29348097826086955,0.04183090031775233,16
4,1.7797850608825683,0.03905790181938482,1.615812349319458,0.01660663401106247,1.0,1,"{'C': 1.0, 'encoding_layers': 1}",0.8333333333333334,0.8541666666666666,0.8541666666666666,0.8958333333333334,0.9375,0.875,0.037267799624996496,4,0.9201388888888888,0.96875,0.9357638888888888,0.96875,0.9739130434782608,0.9534631642512077,0.021491132737001116,1
5,2.5022532463073732,0.0731192226277887,2.915594148635864,0.04736016249015717,1.0,3,"{'C': 1.0, 'encoding_layers': 3}",0.875,0.8958333333333334,0.8125,0.9166666666666666,0.8958333333333334,0.8791666666666667,0.035843021946010946,3,0.9340277777777778,0.9635416666666666,0.9236111111111112,0.9809027777777778,0.9634782608695652,0.9531123188405797,0.021085893973179854,2
6,3.233416032791138,0.07287243652368747,4.386545085906983,0.06811424538579658,1.0,5,"{'C': 1.0, 'encoding_layers': 5}",0.8125,0.9166666666666666,0.7708333333333334,0.875,0.8333333333333334,0.8416666666666666,0.050346024889977366,9,0.8802083333333334,0.9322916666666666,0.8177083333333334,0.9340277777777778,0.8660869565217391,0.88606461352657,0.04368841815851495,9
7,5.542726469039917,0.1291030111105795,8.61724066734314,0.17205966998583785,1.0,10,"{'C': 1.0, 'encoding_layers': 10}",0.6041666666666666,0.6875,0.6458333333333334,0.6458333333333334,0.6875,0.6541666666666667,0.031180478223116186,12,0.6840277777777778,0.7239583333333334,0.7100694444444444,0.6822916666666666,0.7808695652173913,0.7162433574879226,0.035957601882603316,13
8,1.7997167587280274,0.05742957013899326,1.585623550415039,0.05227908799606985,10.0,1,"{'C': 10.0, 'encoding_layers': 1}",0.875,0.8333333333333334,0.8333333333333334,0.8958333333333334,0.875,0.8625,0.02499999999999999,5,0.9236111111111112,0.9444444444444445,0.8940972222222221,0.9722222222222222,0.9773913043478262,0.9423532608695652,0.030997115463594543,5
9,2.592713451385498,0.0221694133991217,2.8349671840667723,0.02831246056187519,10.0,3,"{'C': 10.0, 'encoding_layers': 3}",0.8958333333333334,0.9166666666666666,0.8541666666666666,0.9166666666666666,0.8958333333333334,0.8958333333333333,0.02282177322938192,1,0.9236111111111112,0.9583333333333334,0.9461805555555556,0.986111111111111,0.951304347826087,0.9531080917874396,0.020188207217251564,3
10,3.30586953163147,0.1207037193473552,4.441857385635376,0.10567783357884862,10.0,5,"{'C': 10.0, 'encoding_layers': 5}",0.7708333333333334,0.8958333333333334,0.7291666666666666,0.8333333333333334,0.7708333333333334,0.8,0.058333333333333355,10,0.890625,0.9288194444444444,0.8368055555555555,0.8993055555555556,0.8278260869565217,0.8766763285024155,0.038474865894987074,10
11,5.522266292572022,0.10158389802617172,8.495214557647705,0.08677316319969867,10.0,10,"{'C': 10.0, 'encoding_layers': 10}",0.5208333333333334,0.6041666666666666,0.5833333333333334,0.5208333333333334,0.625,0.5708333333333334,0.04289845892077915,13,0.6163194444444444,0.6684027777777778,0.611111111111111,0.5694444444444444,0.6817391304347825,0.629403381642512,0.040892185620927085,14
12,1.8686715602874755,0.07202530823908754,1.5991950988769532,0.040791055956070264,100.0,1,"{'C': 100.0, 'encoding_layers': 1}",0.8958333333333334,0.875,0.75,0.8958333333333334,0.875,0.8583333333333334,0.05496210815947051,7,0.9131944444444444,0.9479166666666666,0.875,0.9600694444444444,0.9582608695652174,0.9308882850241545,0.03264149698875461,7
13,2.509351348876953,0.06801913843214179,2.9515748500823973,0.04740617066392648,100.0,3,"{'C': 100.0, 'encoding_layers': 3}",0.875,0.8958333333333334,0.875,0.8958333333333334,0.8541666666666666,0.8791666666666668,0.015590239111558117,2,0.9270833333333334,0.953125,0.9565972222222221,0.9704861111111112,0.9217391304347826,0.9458061594202899,0.018487177070387977,4
