,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_vmap,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,814.7291890621185,2.918173178046244,365.72106647491455,2.4052081527662117,0.1,500,1,"{'C': 0.1, 'max_vmap': 500, 'repeats': 1}",0.7708333333333334,0.875,0.75,0.7916666666666666,0.7708333333333334,0.7916666666666667,0.04370036867375631,10,,,,,,,,1
1,1733.8238664627074,3.2285867396710497,676.2680717468262,4.620526106464149,0.1,500,5,"{'C': 0.1, 'max_vmap': 500, 'repeats': 5}",0.5208333333333334,0.6041666666666666,0.5833333333333334,0.625,0.625,0.5916666666666667,0.03864007706456542,11,,,,,,,,1
2,2912.8438992023466,5.360564206747179,1093.856167602539,7.645219983954177,0.1,500,10,"{'C': 0.1, 'max_vmap': 500, 'repeats': 10}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,12,,,,,,,,1
3,721.1949718475341,43.37049879084958,358.9444892883301,4.176753248822976,1.0,500,1,"{'C': 1.0, 'max_vmap': 500, 'repeats': 1}",0.9166666666666666,0.9375,0.8958333333333334,0.9791666666666666,0.9166666666666666,0.9291666666666666,0.02825970826302194,9,,,,,,,,1
4,1326.3028667926787,31.630164991876473,687.3471401214599,4.401845833361725,1.0,500,5,"{'C': 1.0, 'max_vmap': 500, 'repeats': 5}",0.9791666666666666,0.9583333333333334,0.8958333333333334,0.9791666666666666,0.9166666666666666,0.9458333333333334,0.03385016001931649,5,,,,,,,,1
5,2118.699466180801,6.532029448195473,1097.7162766456604,3.9357132330040394,1.0,500,10,"{'C': 1.0, 'max_vmap': 500, 'repeats': 10}",0.9583333333333334,0.9166666666666666,0.9375,0.9791666666666666,0.9166666666666666,0.9416666666666667,0.02429563289518876,8,,,,,,,,1
6,751.2518630981446,4.426579408934434,379.82691497802733,5.720313510938997,10.0,500,1,"{'C': 10.0, 'max_vmap': 500, 'repeats': 1}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1,,,,,,,,1
7,1381.3655968666076,7.437290879126208,688.8254470348359,5.808568508514898,10.0,500,5,"{'C': 10.0, 'max_vmap': 500, 'repeats': 5}",0.9791666666666666,0.9791666666666666,0.9375,1.0,0.9375,0.9666666666666666,0.024999999999999994,3,,,,,,,,1
8,2158.6046310424804,6.12329109410166,1029.5697228908539,50.13712931530183,10.0,500,10,"{'C': 10.0, 'max_vmap': 500, 'repeats': 10}",0.9583333333333334,0.9166666666666666,0.9375,0.9791666666666666,0.9375,0.9458333333333332,0.02124591463996994,6,,,,,,,,1
9,746.4311367034912,9.00768089347093,376.7359307765961,2.5624512990441093,100.0,500,1,"{'C': 100.0, 'max_vmap': 500, 'repeats': 1}",1.0,1.0,1.0,1.0,0.9583333333333334,0.9916666666666666,0.016666666666666653,1,,,,,,,,1
10,1343.2641935825347,7.378616101470186,508.29336643218994,59.04084962283097,100.0,500,5,"{'C': 100.0, 'max_vmap': 500, 'repeats': 5}",0.9791666666666666,0.9791666666666666,0.9375,1.0,0.9375,0.9666666666666666,0.024999999999999994,3,,,,,,,,1
11,1628.3441693782806,103.58681146384808,1594.4019518375396,548.8503210718328,100.0,500,10,"{'C': 100.0, 'max_vmap': 500, 'repeats': 10}",0.9583333333333334,0.9166666666666666,0.9375,0.9791666666666666,0.9375,0.9458333333333332,0.02124591463996994,6,,,,,,,,1
