,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_jit,param_max_vmap
0,95.829349899292,0.5415047867346335,50.73224358558655,0.1941755608706212,100.0,1,"{'C': 100.0, 'repeats': 1}",1.0,0.9791666666666666,1.0,0.9583333333333334,0.9791666666666666,0.9833333333333334,0.015590239111558,1,1.0,1.0,1.0,0.9965277777777778,1.0,0.9993055555555556,0.0013888888888888,1,,
1,218.8174925804138,1.0373184552881825,117.91362853050232,0.5928531447786142,10.0,1,"{'C': 10.0, 'jit': False, 'max_vmap': 1, 'repeats': 1}",1.0,0.9791666666666666,1.0,0.9583333333333334,0.9791666666666666,0.9833333333333334,0.015590239111558,1,1.0,1.0,1.0,0.9965277777777778,1.0,0.9993055555555556,0.0013888888888888,1,False,1.0
2,123.55321717262268,0.5109169489736222,72.35329790115357,0.4324534431631783,10.0,5,"{'C': 10.0, 'repeats': 5}",1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.9666666666666666,0.0311804782231161,3,1.0,1.0,1.0,0.9913194444444444,0.9982608695652174,0.9979160628019323,0.0033663822776037,3,,
3,155.88546552658082,1.971016302775892,88.99582853317261,0.6147441943705542,100.0,5,"{'C': 100.0, 'repeats': 5}",1.0,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.9666666666666666,0.0311804782231161,3,1.0,1.0,1.0,0.9913194444444444,0.9982608695652174,0.9979160628019323,0.0033663822776037,3,,
4,199.44438557624815,7.798623185662454,72.5042049407959,3.980087468934412,1.0,5,"{'C': 1.0, 'repeats': 5}",0.9791666666666666,0.9583333333333334,0.9791666666666666,0.8958333333333334,0.9375,0.95,0.0311804782231161,8,0.9913194444444444,1.0,1.0,0.9878472222222222,0.9965217391304348,0.9951376811594204,0.0048358996806923,5,,
5,311.42216963768004,14.046440315462227,162.17225131988525,3.744825492740532,10.0,10,"{'C': 10.0, 'repeats': 10}",0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.0263523138347365,5,0.9913194444444444,0.998263888888889,1.0,0.9878472222222222,0.9930434782608696,0.9940948067632852,0.004474210391824,6,,
6,752.353296804428,2.326318715380568,386.8310345649719,1.1584653785271637,100.0,10,"{'C': 100.0, 'jit': False, 'max_vmap': 1, 'repeats': 10}",0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.0263523138347365,5,0.9913194444444444,0.998263888888889,1.0,0.9878472222222222,0.9930434782608696,0.9940948067632852,0.004474210391824,6,False,1.0
7,226.1092046737671,10.515043327523427,130.7684869289398,5.240401687994169,1.0,10,"{'C': 1.0, 'repeats': 10}",0.9583333333333334,0.9583333333333334,1.0,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.0263523138347365,5,0.9913194444444444,0.998263888888889,1.0,0.9895833333333331,0.9895652173913044,0.9937463768115944,0.0044770245513188,8,,
8,251.5344755172729,31.39652167127511,118.57946696281434,6.169140328462122,0.1,10,"{'C': 0.1, 'repeats': 10}",0.5,0.5,0.5,0.5,0.8541666666666666,0.5708333333333333,0.1416666666666666,12,0.986111111111111,1.0,1.0,0.9878472222222224,0.9843478260869564,0.991661231884058,0.0068979202957246,9,,
9,69.56800813674927,0.3041210430568293,41.45062527656555,0.3356646829510217,1.0,1,"{'C': 1.0, 'repeats': 1}",0.8958333333333334,0.9791666666666666,0.9791666666666666,0.8958333333333334,0.9583333333333334,0.9416666666666668,0.0381881307912986,9,0.9652777777777778,1.0,1.0,0.9739583333333334,0.9965217391304348,0.9871515700483092,0.0146320788433248,10,,
10,138.57319521903992,5.1336614054502006,73.37099237442017,3.009217965028326,0.1,5,"{'C': 0.1, 'repeats': 5}",0.8333333333333334,0.8125,0.75,0.8541666666666666,0.9583333333333334,0.8416666666666666,0.067956276792917,11,0.9696180555555556,0.998263888888889,0.9913194444444444,0.954861111111111,0.9878260869565216,0.9803777173913044,0.0158869899591115,11,,
11,66.61050934791565,0.4353763355606952,39.38172163963318,0.5014718935046595,0.1,1,"{'C': 0.1, 'repeats': 1}",0.7083333333333334,0.9375,0.875,0.8333333333333334,0.9166666666666666,0.8541666666666667,0.0812232862067413,10,0.8454861111111112,0.9895833333333331,0.9600694444444444,0.9548611111111112,0.9878260869565216,0.9475652173913044,0.0529456124410614,12,,
