,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_vmap,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,718.7610714435577,1.2618690659281027,324.19677119255067,1.1737341668140637,0.1,500,1,"{'C': 0.1, 'max_vmap': 500, 'repeats': 1}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,10,,,,,,,,1
1,1498.676554441452,2.873816060075045,600.5900874137878,4.428432358078495,0.1,500,5,"{'C': 0.1, 'max_vmap': 500, 'repeats': 5}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,10,,,,,,,,1
2,2505.5049914360047,4.764266840995647,985.2375236511231,5.80815971591301,0.1,500,10,"{'C': 0.1, 'max_vmap': 500, 'repeats': 10}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,10,,,,,,,,1
3,641.496284532547,38.35431340790494,319.2728648662567,3.8021869182642147,1.0,500,1,"{'C': 1.0, 'max_vmap': 500, 'repeats': 1}",0.7916666666666666,0.8125,0.8333333333333334,0.7291666666666666,0.7708333333333334,0.7875,0.03584302194601097,1,,,,,,,,1
4,1186.2896196842194,36.5059810213165,615.0737751483917,1.6200071600816346,1.0,500,5,"{'C': 1.0, 'max_vmap': 500, 'repeats': 5}",0.7916666666666666,0.625,0.7916666666666666,0.6875,0.7083333333333334,0.7208333333333333,0.06400954789890506,6,,,,,,,,1
5,1901.6267689704896,6.076054444035859,982.3253301143646,1.9255105948104072,1.0,500,10,"{'C': 1.0, 'max_vmap': 500, 'repeats': 10}",0.7083333333333334,0.6875,0.6875,0.75,0.625,0.6916666666666667,0.040397332145136085,9,,,,,,,,1
6,671.7911643981934,3.1844790806555157,339.5917558670044,4.3525127267226065,10.0,500,1,"{'C': 10.0, 'max_vmap': 500, 'repeats': 1}",0.7708333333333334,0.8125,0.8333333333333334,0.7291666666666666,0.7708333333333334,0.7833333333333334,0.03632415786283896,2,,,,,,,,1
7,1233.2231893539429,4.6779639383643925,605.2460811138153,2.6447842705912614,10.0,500,5,"{'C': 10.0, 'max_vmap': 500, 'repeats': 5}",0.8125,0.625,0.7708333333333334,0.6875,0.7083333333333334,0.7208333333333334,0.06535161308899218,4,,,,,,,,1
8,1912.7325061798097,6.465857157485781,931.31285405159,37.694552474309944,10.0,500,10,"{'C': 10.0, 'max_vmap': 500, 'repeats': 10}",0.75,0.7291666666666666,0.6875,0.75,0.6666666666666666,0.7166666666666666,0.03385016001931651,7,,,,,,,,1
9,660.6049102306366,6.8373716368235895,336.2735993862152,3.0226512811127506,100.0,500,1,"{'C': 100.0, 'max_vmap': 500, 'repeats': 1}",0.7708333333333334,0.8125,0.8333333333333334,0.7291666666666666,0.7708333333333334,0.7833333333333334,0.03632415786283896,2,,,,,,,,1
10,1199.6802489757538,1.7858162868724272,479.0836484909058,46.58477243439818,100.0,500,5,"{'C': 100.0, 'max_vmap': 500, 'repeats': 5}",0.8125,0.625,0.7708333333333334,0.6875,0.7083333333333334,0.7208333333333334,0.06535161308899218,4,,,,,,,,1
11,1463.2122566223145,94.98403620641949,448.2034143924713,8.598617364569128,100.0,500,10,"{'C': 100.0, 'max_vmap': 500, 'repeats': 10}",0.75,0.7291666666666666,0.6875,0.75,0.6666666666666666,0.7166666666666666,0.03385016001931651,7,,,,,,,,1
