,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,266.49614839553834,7.5508229520625125,146.60744686126708,4.187601410152913,0.1,1,"{'C': 0.1, 'repeats': 1}",0.6875,0.8125,0.7083333333333334,0.7083333333333334,0.75,0.7333333333333334,0.044487826050130456,11,0.8767361111111112,0.9513888888888888,0.8298611111111112,0.8643478260869565,0.8869565217391304,0.8818580917874396,0.03974180625975591,12
1,333.95871090888977,10.211581113380914,187.49560885429383,5.35171005021779,0.1,5,"{'C': 0.1, 'repeats': 5}",0.875,0.8541666666666666,0.875,0.875,0.8333333333333334,0.8625,0.01666666666666666,10,0.9704861111111112,0.9826388888888888,0.9618055555555556,0.9286956521739129,0.9739130434782608,0.9635078502415458,0.018642680881682614,11
2,425.3982457637787,9.063739311023586,244.6639831542969,5.664165486765207,0.1,10,"{'C': 0.1, 'repeats': 10}",0.5,0.5,0.5,0.5208333333333334,0.5208333333333334,0.5083333333333334,0.010206207261596593,12,0.984375,0.9809027777777778,0.9756944444444444,0.9460869565217391,0.9808695652173913,0.9735857487922706,0.014025911807825111,6
3,254.5732584953308,8.378706742508736,139.795104265213,4.375085522407468,1.0,1,"{'C': 1.0, 'repeats': 1}",0.9166666666666666,0.9166666666666666,0.8541666666666666,0.8125,0.9375,0.8875,0.04677071733467426,8,0.970486111111111,0.9878472222222222,0.96875,0.9286956521739131,0.9843478260869566,0.9680253623188406,0.0210368031695045,10
4,323.54540181159973,10.61312912046897,182.17178936004638,4.722849016928966,1.0,5,"{'C': 1.0, 'repeats': 5}",0.8958333333333334,0.9166666666666666,0.8333333333333334,0.8125,0.8958333333333334,0.8708333333333333,0.04039733214513607,9,0.9774305555555556,0.9861111111111112,0.9774305555555556,0.9356521739130435,0.9843478260869566,0.9721944444444445,0.01860940381197401,7
5,402.8801287651062,9.354161020251103,237.60143609046935,5.528063223299128,1.0,10,"{'C': 1.0, 'repeats': 10}",0.9166666666666666,0.9375,0.8958333333333334,0.8541666666666666,0.9166666666666666,0.9041666666666666,0.028259708263021956,5,0.9826388888888888,0.9878472222222222,0.984375,0.9582608695652174,0.9773913043478261,0.978102657004831,0.01047930139878051,4
6,254.0578848361969,5.952279547561305,146.86038022041322,5.986609807941517,10.0,1,"{'C': 10.0, 'repeats': 1}",0.9375,0.9583333333333334,0.8958333333333334,0.8958333333333334,0.9375,0.925,0.02499999999999999,2,0.9913194444444444,0.9947916666666666,0.9548611111111112,0.9756521739130435,0.9669565217391305,0.9767161835748792,0.014926524211156927,5
7,314.89069113731387,8.370679707261361,182.00570964813232,5.48354721521102,10.0,5,"{'C': 10.0, 'repeats': 5}",0.9166666666666666,0.9583333333333334,0.8541666666666666,0.8958333333333334,0.9166666666666666,0.9083333333333334,0.03385016001931652,3,0.9895833333333333,0.9930555555555556,0.923611111111111,0.968695652173913,0.9791304347826086,0.9708152173913043,0.025094771823473108,9
8,417.92845554351806,9.766301249772276,232.554967212677,6.413265186799173,10.0,10,"{'C': 10.0, 'repeats': 10}",0.9166666666666666,0.9375,0.875,0.875,0.9166666666666666,0.9041666666666666,0.024999999999999994,5,0.9809027777777778,0.9930555555555556,0.9895833333333334,0.9686956521739131,0.9773913043478261,0.9819257246376812,0.008708091779902095,1
9,263.4768808364868,3.2835589668062863,136.8944387435913,8.676354669097176,100.0,1,"{'C': 100.0, 'repeats': 1}",0.9375,0.9791666666666666,0.8958333333333334,0.9375,0.9583333333333334,0.9416666666666667,0.027638539919628315,1,0.9930555555555556,0.9965277777777778,0.9583333333333334,0.9860869565217392,0.9704347826086956,0.9808876811594203,0.014405998388287789,3
10,307.94756026268004,12.600305848813868,168.82760338783265,2.4515532813021848,100.0,5,"{'C': 100.0, 'repeats': 5}",0.9166666666666666,0.9583333333333334,0.8541666666666666,0.8958333333333334,0.9166666666666666,0.9083333333333334,0.03385016001931652,3,0.9895833333333333,0.9930555555555556,0.9253472222222222,0.968695652173913,0.9791304347826086,0.9711624396135266,0.024442773913722505,8
11,378.45597381591796,4.290389216604232,218.7446087360382,5.69092262746977,100.0,10,"{'C': 100.0, 'repeats': 10}",0.9166666666666666,0.9375,0.875,0.875,0.9166666666666666,0.9041666666666666,0.024999999999999994,5,0.9809027777777778,0.9930555555555556,0.9895833333333334,0.9686956521739131,0.9773913043478261,0.9819257246376812,0.008708091779902095,1
