,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_layers,param_observable_type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,20.999580574035644,1.382434357798665,0.6722692012786865,0.03490647053892339,32,0.001,1,single,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'observable_type': 'single'}",0.8654262224145391,0.8442232799653829,0.845021645021645,0.8303030303030303,0.8653679653679653,0.8500684286145125,0.013566461683501646,31,0.9410596823058014,0.9281698379330982,0.9336944613328678,0.9238907315663695,0.9366719238154861,0.9326973273907246,0.00607906182509239,31
1,20.588909530639647,1.8380661446888376,0.6671011924743653,0.06500357009511941,32,0.001,1,half,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'observable_type': 'half'}",0.8654262224145391,0.8442232799653829,0.845021645021645,0.8303030303030303,0.8653679653679653,0.8500684286145125,0.013566461683501646,31,0.9410596823058014,0.9281698379330982,0.9336944613328678,0.9238907315663695,0.9366719238154861,0.9326973273907246,0.00607906182509239,31
2,24.316222858428954,9.763949987564722,0.7336580753326416,0.07526913870082502,32,0.001,1,full,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 1, 'observable_type': 'full'}",0.8965815664214626,0.6607529208135007,0.674025974025974,0.6233766233766234,0.638961038961039,0.69873962471972,0.10044724922797492,36,0.9597281632223483,0.9444163757040992,0.9419827477230727,0.9225363134544886,0.9437261848148661,0.9424779569837749,0.011838914933286268,29
3,24.88427758216858,1.747321460327328,1.5509979724884033,0.13477041989739041,32,0.001,5,single,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'observable_type': 'single'}",0.9463435742102986,0.9398528775421895,0.9432900432900433,0.9341991341991343,0.9346320346320346,0.93966353277474,0.004753651415332753,19,0.9842130189970004,0.9825835972296153,0.9859832774510453,0.9800968258459093,0.9835317806685407,0.9832817000384223,0.0019421218805400387,18
4,24.371784448623657,2.5490849110904326,1.3735525131225585,0.027202584999931053,32,0.001,5,half,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'observable_type': 'half'}",0.9463435742102986,0.9398528775421895,0.9432900432900433,0.9341991341991343,0.9346320346320346,0.93966353277474,0.004753651415332753,19,0.9842130189970004,0.9825835972296153,0.9859832774510453,0.9800968258459093,0.9835317806685407,0.9832817000384223,0.0019421218805400387,18
5,23.874113035202026,1.642576434139872,1.4799745559692383,0.14632173139265606,32,0.001,5,full,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 5, 'observable_type': 'full'}",0.9086975335352662,0.9186499350930333,0.9064935064935065,0.8835497835497835,0.9043290043290043,0.9043439526001187,0.01149463417366349,27,0.973199720344908,0.9755764366934624,0.9780403676793703,0.9655737014140127,0.9774120681663586,0.9739604588596225,0.004518563282339359,27
6,32.09889397621155,2.004770168647336,2.5662018299102782,0.2862125132833749,32,0.001,10,single,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'observable_type': 'single'}",0.9441800086542622,0.9402855906533968,0.9411255411255411,0.929004329004329,0.9432900432900433,0.9395771025455145,0.005470938336458301,21,0.9836033408258847,0.9807483527158011,0.9849584344130554,0.9798936631291272,0.9828590863396398,0.9824125754847017,0.0018554378784541353,23
7,31.173187351226808,1.5721936656616329,2.3170785427093508,0.10387014143216725,32,0.001,10,half,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'observable_type': 'half'}",0.9441800086542622,0.9402855906533968,0.9411255411255411,0.929004329004329,0.9432900432900433,0.9395771025455145,0.005470938336458301,21,0.9836033408258847,0.9807483527158011,0.9849584344130554,0.9798936631291272,0.9828590863396398,0.9824125754847017,0.0018554378784541353,23
8,35.76125545501709,1.7039373132508657,2.318127489089966,0.11363287070392583,32,0.001,10,full,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 10, 'observable_type': 'full'}",0.9472090004327132,0.9402855906533968,0.9411255411255411,0.9385281385281385,0.9393939393939394,0.9413084420267459,0.0030754406204394776,15,0.9855308560302508,0.9826069043086519,0.9857740950982103,0.9784888305653041,0.9834264370376167,0.9831654246080067,0.0026325285105101024,20
9,41.12842168807983,0.8678856011772923,3.419995737075806,0.1652501342031541,32,0.001,15,single,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15, 'observable_type': 'single'}",0.9532669839896148,0.9385547382085677,0.9497835497835497,0.9329004329004329,0.9463203463203463,0.9441652102405023,0.007448828647057355,11,0.9900030822201006,0.9843571907601716,0.98896374975169,0.9834301993101496,0.9857026119200832,0.9864913667924389,0.0025687510849463995,15
10,42.02590250968933,1.4262370557583781,3.740218734741211,0.3844930757305782,32,0.001,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15, 'observable_type': 'half'}",0.9532669839896148,0.9385547382085677,0.9497835497835497,0.9329004329004329,0.9463203463203463,0.9441652102405023,0.007448828647057355,11,0.9900030822201006,0.9843571907601716,0.98896374975169,0.9834301993101496,0.9857026119200832,0.9864913667924389,0.0025687510849463995,15
