,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,6.239398670196533,1.2310685818138742,1.0225785732269288,0.05324403229775501,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.5208333333333334,0.5416666666666666,0.6458333333333334,0.4791666666666667,0.5208333333333334,0.5416666666666667,0.05590169943749475,12
1,5.722722005844116,0.18234829065574917,1.0481212139129639,0.03987677768200569,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.6666666666666666,0.7291666666666666,0.625,0.6041666666666666,0.625,0.6499999999999999,0.044487826050130456,7
2,4.388948392868042,0.38824741209126784,1.0559073448181153,0.08074404757859638,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.5833333333333334,0.7708333333333334,0.6875,0.5416666666666666,0.5416666666666666,0.625,0.09033118078616169,9
3,10.954711389541625,0.658838860756897,2.372691822052002,0.24746128012489402,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.75,0.7083333333333334,0.6666666666666666,0.5625,0.5625,0.65,0.07614861201040445,5
4,9.89770336151123,0.29059811047404904,2.310746431350708,0.14962738637757644,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.6875,0.7291666666666666,0.7291666666666666,0.5625,0.6875,0.6791666666666666,0.06123724356957944,3
5,9.74733533859253,0.3383977805092645,2.3373409271240235,0.22484336020014298,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.5625,0.7708333333333334,0.625,0.6041666666666666,0.6041666666666666,0.6333333333333333,0.07168604389202192,8
6,15.217762756347657,0.3356121975015203,3.681996488571167,0.1627292358283376,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.625,0.75,0.6666666666666666,0.6458333333333334,0.5625,0.65,0.06095307849303246,5
7,15.435374021530151,0.27791860593000445,3.5996507167816163,0.18282053263725856,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.6458333333333334,0.7291666666666666,0.7083333333333334,0.625,0.625,0.6666666666666667,0.04370036867375631,4
8,14.343442583084107,0.4440867445425493,3.9151453971862793,0.39993359676743717,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.5833333333333334,0.7083333333333334,0.6041666666666666,0.6666666666666666,0.5416666666666666,0.6208333333333333,0.059511903571190426,10
9,32.69492654800415,0.4701043328469043,7.616179513931274,0.4251431078447251,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.6458333333333334,0.7916666666666666,0.7708333333333334,0.6458333333333334,0.6666666666666666,0.7041666666666667,0.0637377439199098,2
10,32.52043595314026,1.3480892839612313,7.69263072013855,0.5303506091867617,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.6875,0.7708333333333334,0.75,0.6666666666666666,0.7083333333333334,0.7166666666666667,0.03864007706456545,1
11,30.07609920501709,1.4002774810098688,6.969125747680664,0.5735324441983428,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.625,0.5833333333333334,0.625,0.6458333333333334,0.5416666666666666,0.6041666666666667,0.03726779962499651,11
