,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_encoding_layers,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,11.59191312789917,1.852703212722506,1.1768783569335937,0.039026885934134205,32,1,0.001,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.001}",0.6458333333333334,0.6041666666666666,0.6041666666666666,0.6666666666666666,0.5833333333333334,0.6208333333333333,0.03061862178478972,12
1,6.79622368812561,1.0922036967463258,1.2339338302612304,0.0706070606951554,32,1,0.01,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.01}",0.6041666666666666,0.6875,0.6458333333333334,0.6458333333333334,0.5833333333333334,0.6333333333333334,0.03632415786283895,11
2,5.886725378036499,0.8014711234661487,1.3684916019439697,0.3244220983729866,32,1,0.1,"{'batch_size': 32, 'encoding_layers': 1, 'learning_rate': 0.1}",0.6458333333333334,0.7083333333333334,0.75,0.7083333333333334,0.625,0.6875000000000001,0.04564354645876384,6
3,15.929972600936889,1.5094729739512345,2.9219961643218992,0.22340063773661506,32,3,0.001,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.001}",0.6875,0.7083333333333334,0.6666666666666666,0.6875,0.5833333333333334,0.6666666666666667,0.04370036867375631,8
4,12.986845350265503,0.7865750049458003,2.6700995445251463,0.21698267738692503,32,3,0.01,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.01}",0.6666666666666666,0.7083333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7083333333333333,0.06454972243679032,4
5,11.323670578002929,0.7438340123642495,2.689489507675171,0.2120856561543501,32,3,0.1,"{'batch_size': 32, 'encoding_layers': 3, 'learning_rate': 0.1}",0.6458333333333334,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.6500000000000001,0.008333333333333304,9
6,20.12849917411804,0.6270774752687002,4.598169898986816,0.1829490113500755,32,5,0.001,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.001}",0.6875,0.625,0.6666666666666666,0.7708333333333334,0.75,0.7,0.053683744694688035,5
7,19.028853321075438,1.0781578717153977,4.436059045791626,0.314559453302096,32,5,0.01,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.01}",0.6666666666666666,0.6666666666666666,0.6875,0.875,0.7291666666666666,0.7249999999999999,0.07839536550927825,2
8,16.333013248443603,0.5961075790981405,4.304255628585816,0.2292523146446577,32,5,0.1,"{'batch_size': 32, 'encoding_layers': 5, 'learning_rate': 0.1}",0.7083333333333334,0.6041666666666666,0.6041666666666666,0.8541666666666666,0.6666666666666666,0.6874999999999999,0.09223309842157773,7
9,38.99284143447876,1.1594948957417046,8.592246627807617,0.5159312977343119,32,10,0.001,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.001}",0.6666666666666666,0.7291666666666666,0.7291666666666666,0.8333333333333334,0.7291666666666666,0.7375,0.053683744694688056,1
10,41.39498314857483,1.3072644291890907,8.713255453109742,0.5120316155049405,32,10,0.01,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.01}",0.6458333333333334,0.7708333333333334,0.75,0.7708333333333334,0.625,0.7125000000000001,0.06373774391990981,3
11,33.33965663909912,1.8369136653347988,8.366371202468873,0.7779122355155125,32,10,0.1,"{'batch_size': 32, 'encoding_layers': 10, 'learning_rate': 0.1}",0.6666666666666666,0.7291666666666666,0.5416666666666666,0.6666666666666666,0.625,0.6458333333333333,0.061801654059130524,10
